order_id,error_type
PO-000688,DATE_FORMAT_MISMATCH
PO-000699,SUPPLIER_NAME_MISMATCH
PO-000703,MISSING_TRANSPORT_MODE
PO-000705,UNKNOWN_PRODUCT_ID
PO-000718,SUPPLIER_NAME_MISMATCH
PO-000722,DATE_FORMAT_MISMATCH
PO-000728,MISSING_TRANSPORT_MODE
PO-000737,MISSING_TRANSPORT_MODE
PO-000744,SUPPLIER_NAME_MISMATCH
PO-000770,SUPPLIER_NAME_MISMATCH
PO-000786,SUPPLIER_NAME_MISMATCH
PO-000813,SUPPLIER_NAME_MISMATCH
PO-000820,SUPPLIER_NAME_MISMATCH
PO-000825,SUPPLIER_NAME_MISMATCH
PO-000826,SUPPLIER_NAME_MISMATCH
PO-000830,SUPPLIER_NAME_MISMATCH
PO-000835,UNKNOWN_PRODUCT_ID
PO-000847,SUPPLIER_NAME_MISMATCH
PO-000851,COST_OUTLIER
PO-000858,SUPPLIER_NAME_MISMATCH
PO-000875,DUPLICATE_ORDER_ID
PO-000890,SUPPLIER_NAME_MISMATCH
PO-000896,UNKNOWN_PRODUCT_ID
PO-000909,MISSING_TRANSPORT_MODE
PO-000925,SUPPLIER_NAME_MISMATCH
PO-000927,SUPPLIER_NAME_MISMATCH
PO-000929,SUPPLIER_NAME_MISMATCH
PO-000945,SUPPLIER_NAME_MISMATCH
PO-000960,SUPPLIER_NAME_MISMATCH
PO-000968,UNKNOWN_PRODUCT_ID
PO-000986,MISSING_TRANSPORT_MODE
PO-000989,MISSING_TRANSPORT_MODE
PO-000991,UNKNOWN_PRODUCT_ID
