product_id,product_name,category_name,abc_class,supplier_id,recommended_mode,green_decision_made,avg_daily_demand,mean_demand_during_lt,lt_avg_simulated,lt_p90_days,lt_p95_days,lt_spike_events_pct,safety_stock_current,safety_stock_optimised,rop_current,rop_optimised,stockout_prob_current,stockout_prob_optimised,service_level_target,service_level_achieved,safety_stock_value_current,safety_stock_value_optimised,working_capital_saved_gbp,working_capital_released,annual_holding_cost_curr,annual_holding_cost_opt,carbon_saving_vs_air_kg,stockout_improvement_pct
PRD-00011,Sponge Scourers 10-Pack,Household Essentials,B,SUP-006,ROAD,False,4.18,54.4,13.5,16,18,4.7,27,27,82,82,0.0873,0.0873,0.9,0.9127,0.0,0,0.0,0.0,88.36,88.36,0.0,0.0
PRD-00012,Paper Towels 12-Roll,Household Essentials,C,SUP-001,ROAD,False,2.77,12.5,4.6,6,6,0.9,10,7,23,20,0.0474,0.0972,0.85,0.9028,24.96,0,24.96,24.96,20.8,14.56,0.0,-105.1
PRD-00013,Rubber Gloves Medium Pair,Household Essentials,B,SUP-006,ROAD,False,5.92,77.0,13.5,16,18,4.7,37,37,114,114,0.0931,0.0931,0.9,0.9069,0.0,0,0.0,0.0,87.6,87.6,0.0,0.0
PRD-00014,Oven Cleaner 300ml,Household Essentials,C,SUP-002,RAIL,False,2.85,25.6,9.3,11,12,4.5,15,12,41,38,0.0775,0.1138,0.85,0.8862,22.38,0,22.38,22.38,27.98,22.38,0.0,-46.8
PRD-00015,Drain Unblocker 500ml,Household Essentials,C,SUP-002,ROAD,False,9.44,85.0,9.3,11,12,4.7,41,33,126,118,0.0949,0.1365,0.85,0.8635,19.6,0,19.6,19.6,25.11,20.21,0.0,-43.8
PRD-00016,Moisturising Hand Cream 100ml,Personal Care,C,SUP-005,ROAD,False,3.94,41.4,10.8,13,14,4.6,22,16,64,58,0.0757,0.1344,0.85,0.8656,25.32,0,25.32,25.32,23.21,16.88,0.0,-77.5
PRD-00017,Daily Shampoo 400ml,Personal Care,A,SUP-005,ROAD,False,6.31,66.3,10.9,13,14,4.7,32,43,99,110,0.0867,0.045,0.95,0.955,0.0,0,0.0,0.0,112.88,151.68,0.0,48.1
PRD-00018,Conditioner 400ml,Personal Care,A,SUP-002,ROAD,False,5.64,50.8,9.3,11,12,4.7,26,35,77,86,0.087,0.045,0.95,0.955,0.0,0,0.0,0.0,104.91,141.22,0.0,48.3
PRD-00019,Body Lotion 250ml,Personal Care,C,SUP-003,SEA,False,6.82,163.6,26.3,36,41,10.6,92,80,256,244,0.1163,0.1467,0.85,0.8533,29.4,0,29.4,29.4,56.35,49.0,4623.64,-26.1
PRD-00020,Shower Gel 500ml,Personal Care,B,SUP-005,ROAD,False,5.72,60.1,10.8,13,14,4.2,30,29,91,90,0.0845,0.0903,0.9,0.9097,7.97,0,7.97,7.97,59.77,57.78,0.0,-6.9
PRD-00021,Deodorant Roll-On 50ml,Personal Care,B,SUP-005,ROAD,False,4.27,44.9,10.8,13,14,4.3,23,22,68,67,0.0806,0.088,0.9,0.912,9.96,0,9.96,9.96,57.27,54.78,0.0,-9.2
PRD-00022,Facial Cleanser 150ml,Personal Care,C,SUP-002,ROAD,False,5.58,50.2,9.3,11,12,5.0,26,20,77,71,0.0844,0.1329,0.85,0.8671,15.96,0,15.96,15.96,17.29,13.3,0.0,-57.5
PRD-00023,Lip Balm SPF15,Personal Care,C,SUP-005,ROAD,False,3.61,38.0,10.8,13,14,4.5,20,16,58,54,0.0849,0.1274,0.85,0.8726,16.96,0,16.96,16.96,21.2,16.96,0.0,-50.1
PRD-00024,Hand Sanitiser 500ml,Personal Care,C,SUP-005,ROAD,False,2.85,29.9,10.8,13,14,4.0,16,13,46,43,0.0852,0.1232,0.85,0.8768,18.3,0,18.3,18.3,24.4,19.82,0.0,-44.6
PRD-00025,Toothpaste Whitening 100ml,Personal Care,B,SUP-003,SEA,False,5.36,128.7,26.2,36,41,10.4,73,80,202,209,0.1138,0.0965,0.9,0.9035,0.0,0,0.0,0.0,150.75,165.2,863.99,15.2
PRD-00026,Mouthwash Fresh Mint 500ml,Personal Care,B,SUP-002,ROAD,False,4.11,37.0,9.3,11,12,4.9,20,19,58,57,0.0755,0.083,0.9,0.917,11.96,0,11.96,11.96,59.8,56.81,0.0,-9.9
PRD-00027,Cotton Buds 200-Pack,Personal Care,A,SUP-003,SEA,False,6.54,157.0,26.3,36,41,10.5,90,133,248,291,0.1099,0.0491,0.95,0.9509,0.0,0,0.0,0.0,250.65,370.41,795.56,55.3
PRD-00028,Premium Ground Coffee 250g,Food and Beverage,B,SUP-005,ROAD,False,6.44,67.6,10.8,13,14,4.2,33,31,101,99,0.0825,0.0926,0.9,0.9074,15.48,0,15.48,15.48,63.86,59.98,0.0,-12.2
PRD-00029,English Breakfast Tea 80-Pack,Food and Beverage,C,SUP-002,ROAD,False,6.03,54.2,9.3,11,12,4.8,28,21,83,76,0.079,0.1318,0.85,0.8682,25.9,0,25.9,25.9,25.9,19.43,0.0,-66.8
PRD-00030,Instant Hot Chocolate 400g,Food and Beverage,B,SUP-001,ROAD,False,6.66,30.0,4.6,6,6,1.1,20,18,50,48,0.07,0.0874,0.9,0.9126,14.62,0,14.62,14.62,36.55,32.89,0.0,-24.9
PRD-00031,Organic Honey 340g,Food and Beverage,C,SUP-005,ROAD,False,3.47,36.5,10.8,13,14,4.3,19,15,56,52,0.0784,0.1236,0.85,0.8764,21.92,0,21.92,21.92,26.03,20.55,0.0,-57.7
PRD-00032,Extra Virgin Olive Oil 500ml,Food and Beverage,C,SUP-005,ROAD,False,12.8,134.4,10.8,13,14,4.3,61,47,196,182,0.0883,0.1439,0.85,0.8561,22.4,0,22.4,22.4,24.4,18.8,0.0,-63.0
PRD-00033,Apple Cider Vinegar 500ml,Food and Beverage,B,SUP-001,ROAD,False,6.02,27.1,4.6,6,6,0.9,18,15,46,43,0.063,0.0873,0.9,0.9127,25.5,0,25.5,25.5,38.25,31.88,0.0,-38.6
PRD-00034,Protein Granola 500g,Food and Beverage,C,SUP-006,ROAD,False,7.44,96.7,13.6,17,18,5.0,46,36,143,133,0.0926,0.1369,0.85,0.8631,25.8,0,25.8,25.8,29.67,23.22,0.0,-47.8
PRD-00035,Mixed Nuts 200g,Food and Beverage,B,SUP-006,ROAD,False,5.98,77.7,13.6,17,18,4.8,37,37,115,115,0.0922,0.0922,0.9,0.9078,0.0,0,0.0,0.0,81.95,81.95,0.0,0.0
PRD-00036,Herbal Tea Variety 40-Pack,Food and Beverage,C,SUP-002,ROAD,False,3.28,29.5,9.3,11,12,4.8,17,13,47,43,0.0705,0.1198,0.85,0.8802,24.88,0,24.88,24.88,26.43,20.21,0.0,-69.9
PRD-00037,Sparkling Water 12x500ml,Food and Beverage,C,SUP-006,ROAD,False,3.47,45.2,13.5,17,18,4.7,24,18,70,64,0.0771,0.1269,0.85,0.8731,36.36,0,36.36,36.36,36.36,27.27,0.0,-64.6
PRD-00038,Luxury Bath Gift Set,Seasonal and Gifting,A,SUP-007,AIR,False,3.62,68.9,20.4,28,32,8.8,42,58,111,127,0.0988,0.0475,0.95,0.9525,0.0,0,0.0,0.0,198.87,274.63,0.0,51.9
PRD-00039,Premium Scented Candle Set,Seasonal and Gifting,A,SUP-007,AIR,False,2.82,53.6,20.5,28,32,9.0,33,47,87,101,0.0984,0.0452,0.95,0.9548,0.0,0,0.0,0.0,226.79,323.01,0.0,54.1
PRD-00040,Artisan Chocolate Selection Box,Seasonal and Gifting,B,SUP-006,ROAD,False,4.92,63.9,13.6,17,18,4.9,32,31,96,95,0.0857,0.0927,0.9,0.9073,6.36,0,6.36,6.36,50.88,49.29,0.0,-8.2
PRD-00041,Spa Pamper Set,Seasonal and Gifting,A,SUP-004,SEA,False,3.6,89.9,27.1,36,42,15.1,48,73,138,163,0.1113,0.0472,0.95,0.9528,0.0,0,0.0,0.0,216.36,329.05,375.87,57.6
PRD-00042,Aromatherapy Diffuser Kit,Seasonal and Gifting,A,SUP-006,ROAD,False,2.82,36.7,13.6,17,18,4.9,20,26,57,63,0.083,0.0451,0.95,0.9549,0.0,0,0.0,0.0,101.7,132.21,0.0,45.7
PRD-00043,Premium Notebook and Pen Set,Seasonal and Gifting,A,SUP-007,AIR,False,7.07,134.4,20.4,27,32,8.4,77,107,212,242,0.1005,0.0479,0.95,0.9521,0.0,0,0.0,0.0,192.5,267.5,0.0,52.3
PRD-00044,Personalised Mug Gift Box,Seasonal and Gifting,A,SUP-004,SEA,False,2.73,68.3,27.0,36,42,14.9,37,54,106,123,0.1041,0.0486,0.95,0.9514,0.0,0,0.0,0.0,252.16,368.01,690.72,53.3
PRD-00045,Festive Reed Diffuser,Seasonal and Gifting,A,SUP-007,AIR,False,3.3,62.7,20.4,27,32,8.4,38,53,101,116,0.0964,0.0475,0.95,0.9525,0.0,0,0.0,0.0,172.42,240.49,0.0,50.7
PRD-00046,Professional Floor Cleaner 5L,Cleaning Products,C,SUP-008,ROAD,False,3.42,10.3,3.0,4,4,0.4,9,6,20,17,0.0469,0.094,0.85,0.906,19.71,0,19.71,19.71,14.78,9.86,0.0,-100.4
PRD-00047,Industrial Degreaser 2L,Cleaning Products,C,SUP-002,ROAD,False,6.44,58.0,9.3,11,12,5.0,30,23,88,81,0.0847,0.1326,0.85,0.8674,25.55,0,25.55,25.55,27.38,20.99,0.0,-56.6
PRD-00048,Antibacterial Surface Spray 1L,Cleaning Products,C,SUP-008,ROAD,False,4.86,14.6,3.0,4,4,0.3,12,8,27,23,0.0554,0.1153,0.85,0.8847,19.48,0,19.48,19.48,14.61,9.74,0.0,-108.1
PRD-00049,Laundry Detergent 2.5kg,Cleaning Products,B,SUP-008,ROAD,False,5.62,16.8,3.0,4,4,0.4,14,12,31,29,0.0552,0.0763,0.9,0.9237,21.18,0,21.18,21.18,37.06,31.77,0.0,-38.2
PRD-00050,Fabric Softener 1.5L,Cleaning Products,B,SUP-001,ROAD,False,5.66,25.5,4.6,6,6,1.0,17,15,43,41,0.0655,0.0819,0.9,0.9181,19.9,0,19.9,19.9,42.29,37.31,0.0,-25.0
