DateKey,reporting_period,Year,MonthNumber,supplier_id,supplier_name,country_of_origin,region,transport_mode,transport_mode_label,shipment_count,total_weight_kg,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,reliability_score
20240401,2024-04,2024,4,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,80.6,100,8.77,0.0088,0.0877,321.17,1014.0,0.76
20240501,2024-05,2024,5,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,261.32,296,865.23,0.8652,2.9231,0.0,5527.4400000000005,0.76
20240501,2024-05,2024,5,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,3197.47,2224,575.54,0.5755,0.2588,2889.23,18457.16,0.85
20240501,2024-05,2024,5,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),7,1958.89,1720,215.48,0.2155,0.1253,1081.7,11511.86,0.93
20240501,2024-05,2024,5,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,1218.3,1296,170.56,0.1706,0.1316,856.22,9990.72,0.91
20240501,2024-05,2024,5,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,2000.32,1656,50.01,0.05,0.0302,251.04,12300.92,0.96
20240501,2024-05,2024,5,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1764.31,804,44.11,0.0441,0.0549,221.42,5445.84,0.98
20240501,2024-05,2024,5,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,97.58,336,30.44,0.0304,0.0906,1115.05,3172.8,0.78
20240501,2024-05,2024,5,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),1,39.79,48,7.0,0.007,0.1458,256.49,1258.56,0.8
20240501,2024-05,2024,5,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,30.22,138,0.12,0.0001,0.0009,4.43,2027.22,0.91
20240601,2024-06,2024,6,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,6,578.87,622,1916.64,1.9166,3.0814,0.0,10342.38,0.76
20240601,2024-06,2024,6,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,4154.76,2784,747.86,0.7479,0.2686,3754.24,16788.6,0.85
20240601,2024-06,2024,6,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),8,2966.11,2448,415.26,0.4153,0.1696,2084.58,13109.16,0.91
20240601,2024-06,2024,6,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),4,405.56,876,126.53,0.1265,0.1444,4634.33,5877.48,0.78
20240601,2024-06,2024,6,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,AIR,Air Freight,1,27.84,96,112.29,0.1123,1.1697,0.0,1776.0,0.8
20240601,2024-06,2024,6,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),5,955.96,1240,105.16,0.1052,0.0848,527.88,7289.2,0.93
20240601,2024-06,2024,6,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1848.98,1040,46.22,0.0462,0.0444,232.05,9480.0,0.96
20240601,2024-06,2024,6,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1827.5,960,45.69,0.0457,0.0476,229.35,6691.68,0.98
20240601,2024-06,2024,6,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),1,27.84,96,4.9,0.0049,0.051,179.46,1704.96,0.8
20240701,2024-07,2024,7,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,398.77,450,1320.33,1.3203,2.9341,0.0,7292.52,0.76
20240701,2024-07,2024,7,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),8,2570.04,1956,462.61,0.4626,0.2365,2322.29,14704.56,0.85
20240701,2024-07,2024,7,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),7,1100.59,1632,154.08,0.1541,0.0944,773.49,13427.76,0.91
20240701,2024-07,2024,7,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),5,1038.6999999999998,1386,114.26,0.1143,0.0824,573.57,8804.1,0.93
20240701,2024-07,2024,7,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,2246.62,1740,56.17,0.0562,0.0323,281.95,13576.76,0.96
20240701,2024-07,2024,7,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1815.24,972,45.38,0.0454,0.0467,227.81,5747.28,0.98
20240701,2024-07,2024,7,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,114.9,396,35.85,0.0358,0.0905,1312.96,3798.48,0.78
20240701,2024-07,2024,7,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,99.48,120,17.51,0.0175,0.1459,641.25,3345.12,0.8
20240701,2024-07,2024,7,SUP-002,EuroFast GmbH,Germany,EUROPEAN,RAIL,Rail (Freight),1,42.0,100,0.29,0.0003,0.0029,6.03,1603.0,0.93
20240801,2024-08,2024,8,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,287.07,350,950.49,0.9505,2.7157,0.0,5344.82,0.76
20240801,2024-08,2024,8,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),13,4948.64,3484,890.76,0.8908,0.2557,4471.59,24616.76,0.85
20240801,2024-08,2024,8,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),5,2033.12,1704,284.64,0.2846,0.167,1428.88,7872.48,0.91
20240801,2024-08,2024,8,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,2035.0,1672,223.85,0.2238,0.1339,1123.73,9402.8,0.93
20240801,2024-08,2024,8,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),4,428.71,888,133.76,0.1338,0.1506,4898.87,6315.0,0.78
20240801,2024-08,2024,8,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),8,2853.04,2316,71.33,0.0713,0.0308,358.06,18257.48,0.96
20240801,2024-08,2024,8,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),2,1293.98,528,32.35,0.0324,0.0613,162.39,4473.6,0.98
20240801,2024-08,2024,8,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),1,27.84,96,4.9,0.0049,0.051,179.46,1700.16,0.8
20240801,2024-08,2024,8,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,135.12,240,0.54,0.0005,0.0023,19.8,1876.8,0.91
20240901,2024-09,2024,9,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,341.29999999999995,372,1130.04,1.13,3.0377,0.0,5128.24,0.76
20240901,2024-09,2024,9,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,3732.44,2522,671.84,0.6718,0.2664,3372.63,16976.28,0.85
20240901,2024-09,2024,9,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),10,2130.64,2442,298.29,0.2983,0.1221,1497.41,17282.1,0.91
20240901,2024-09,2024,9,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,1046.01,1438,115.06,0.1151,0.08,577.61,10140.6,0.93
20240901,2024-09,2024,9,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,3049.94,1452,76.25,0.0762,0.0525,382.77,10001.76,0.98
20240901,2024-09,2024,9,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1628.22,928,40.71,0.0407,0.0439,204.34,8718.880000000001,0.96
20240901,2024-09,2024,9,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,101.12,348,31.55,0.0315,0.0907,1155.5,3343.6800000000003,0.78
20240901,2024-09,2024,9,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),3,115.37,264,20.3,0.0203,0.0769,743.68,5442.96,0.8
20240901,2024-09,2024,9,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,51.77,72,5.63,0.0056,0.0782,206.29,1950.48,0.76
20241001,2024-10,2024,10,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,6,562.24,622,1861.58,1.8616,2.9929,0.0,11207.8,0.76
20241001,2024-10,2024,10,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,3155.57,2312,568.0,0.568,0.2457,2851.37,18201.44,0.85
20241001,2024-10,2024,10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,2529.33,2004,354.11,0.3541,0.1767,1777.61,10463.4,0.91
20241001,2024-10,2024,10,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),9,2493.52,2392,274.29,0.2743,0.1147,1376.92,15337.12,0.93
20241001,2024-10,2024,10,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,281.58,444,87.85,0.0879,0.1979,3217.61,2335.8,0.78
20241001,2024-10,2024,10,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),7,2343.77,2004,58.59,0.0586,0.0292,294.14,15907.64,0.96
20241001,2024-10,2024,10,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1871.38,984,46.78,0.0468,0.0475,234.86,6745.92,0.98
20241001,2024-10,2024,10,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),3,127.32,216,22.41,0.0224,0.1038,820.7,5070.96,0.8
20241001,2024-10,2024,10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,34.16,156,0.14,0.0001,0.0009,5.0,2249.52,0.91
20241101,2024-11,2024,11,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,2,252.4,296,835.7,0.8357,2.8233,0.0,3813.52,0.76
20241101,2024-11,2024,11,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,3513.83,2332,632.49,0.6325,0.2712,3175.1,19175.8,0.85
20241101,2024-11,2024,11,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),7,2660.1400000000003,2228,292.62,0.2926,0.1313,1468.93,15136.98,0.93
20241101,2024-11,2024,11,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),5,1152.9699999999998,1458,161.42,0.1614,0.1107,810.31,10903.98,0.91
20241101,2024-11,2024,11,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,2455.91,1866,61.4,0.0614,0.0329,308.22,16905.62,0.96
20241101,2024-11,2024,11,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),2,1606.62,688,40.17,0.0402,0.0584,201.63,4530.08,0.98
20241101,2024-11,2024,11,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,114.9,396,35.85,0.0358,0.0905,1312.96,3716.28,0.78
20241101,2024-11,2024,11,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,87.53,168,15.41,0.0154,0.0917,564.22,3660.48,0.8
20241201,2024-12,2024,12,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),12,6327.6900000000005,4434,1138.98,1.139,0.2569,5717.7,29666.28,0.85
20241201,2024-12,2024,12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,341.92,396,1132.1,1.1321,2.8588,0.0,6570.48,0.76
20241201,2024-12,2024,12,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),9,3930.06,3726,550.21,0.5502,0.1477,2762.05,21171.3,0.91
20241201,2024-12,2024,12,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,464.48,888,144.92,0.1449,0.1632,5307.61,5578.32,0.78
20241201,2024-12,2024,12,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),5,1192.78,1776,131.21,0.1312,0.0739,658.65,11792.0,0.93
20241201,2024-12,2024,12,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,2995.63,2344,74.89,0.0749,0.0319,375.95,18704.64,0.96
20241201,2024-12,2024,12,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,2634.87,1392,65.87,0.0659,0.0473,330.68,9305.76,0.98
20241201,2024-12,2024,12,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,107.42,192,18.91,0.0189,0.0985,692.43,4305.6,0.8
20241201,2024-12,2024,12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,111.7,100,12.15,0.0122,0.1215,445.1,1917.0,0.76
20241201,2024-12,2024,12,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,122.64,240,0.49,0.0005,0.002,17.97,2400.0,0.91
20250101,2025-01,2025,1,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,332.81999999999994,404,1101.97,1.102,2.7276,0.0,6659.76,0.76
20250101,2025-01,2025,1,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),10,3246.6,2314,584.39,0.5844,0.2525,2933.63,15577.44,0.85
20250101,2025-01,2025,1,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),8,1832.68,1878,201.59,0.2016,0.1073,1012.01,11002.76,0.93
20250101,2025-01,2025,1,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,908.31,1044,127.16,0.1272,0.1218,638.36,7788.72,0.91
20250101,2025-01,2025,1,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,137.76,480,42.98,0.043,0.0895,1574.18,3952.32,0.78
20250101,2025-01,2025,1,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1707.35,896,42.68,0.0427,0.0476,214.27,5672.96,0.98
20250101,2025-01,2025,1,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1182.56,1060,29.56,0.0296,0.0279,148.41,8313.56,0.96
20250101,2025-01,2025,1,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,67.63,144,11.9,0.0119,0.0826,435.94,3002.88,0.8
20250201,2025-02,2025,2,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,4,309.21,302,1023.79,1.0238,3.39,0.0,6020.62,0.76
20250201,2025-02,2025,2,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,2255.83,1612,406.05,0.406,0.2519,2038.37,11416.76,0.85
20250201,2025-02,2025,2,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),6,1580.73,1488,221.3,0.2213,0.1487,1110.94,6859.8,0.91
20250201,2025-02,2025,2,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,925.02,1224,101.75,0.1018,0.0831,510.8,8056.84,0.93
20250201,2025-02,2025,2,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,286.77,588,89.47,0.0895,0.1522,3276.92,4208.639999999999,0.78
20250201,2025-02,2025,2,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1404.0500000000002,996,35.1,0.0351,0.0352,176.21,8695.76,0.96
20250201,2025-02,2025,2,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),1,614.02,192,15.35,0.0154,0.0799,77.06,2056.32,0.98
20250201,2025-02,2025,2,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,80.6,100,8.77,0.0088,0.0877,321.17,1002.0,0.76
20250201,2025-02,2025,2,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,Sea (Container),1,24.97,114,0.1,0.0001,0.0009,3.66,1574.34,0.91
20250301,2025-03,2025,3,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,172.11,208,569.86,0.5699,2.7397,0.0,3352.7200000000003,0.76
20250301,2025-03,2025,3,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,2709.9,1876,487.78,0.4878,0.26,2448.67,15095.0,0.85
20250301,2025-03,2025,3,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,1578.53,1270,173.64,0.1736,0.1367,871.66,8098.52,0.93
20250301,2025-03,2025,3,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),7,1114.85,1290,156.08,0.1561,0.121,783.52,10581.6,0.91
20250301,2025-03,2025,3,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),4,1913.65,1040,47.84,0.0478,0.046,240.16,6381.68,0.98
20250301,2025-03,2025,3,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),5,1608.81,1144,40.22,0.0402,0.0352,201.91,8654.32,0.96
20250301,2025-03,2025,3,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),2,67.25999999999999,228,20.99,0.021,0.0921,768.58,2579.88,0.78
20250301,2025-03,2025,3,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,53.71,96,9.45,0.0095,0.0984,346.21,2183.52,0.8
20250401,2025-04,2025,4,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),12,4200.43,2954,756.08,0.7561,0.256,3795.51,20068.68,0.85
20250401,2025-04,2025,4,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,3,177.81,214,588.73,0.5887,2.7511,0.0,3471.7,0.76
20250401,2025-04,2025,4,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),8,2353.48,2136,329.49,0.3295,0.1543,1654.03,11951.76,0.91
20250401,2025-04,2025,4,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),6,1143.47,1486,125.78,0.1258,0.0846,631.42,9782.78,0.93
20250401,2025-04,2025,4,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,309.23,594,96.48,0.0965,0.1624,3533.57,3668.46,0.78
20250401,2025-04,2025,4,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,1873.3,1480,46.83,0.0468,0.0316,235.1,11669.08,0.96
20250401,2025-04,2025,4,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1570.85,840,39.27,0.0393,0.0468,197.14,5705.76,0.98
20250401,2025-04,2025,4,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,Sea (Container),1,111.7,100,12.15,0.0122,0.1215,445.1,1941.0,0.76
20250401,2025-04,2025,4,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),3,67.63,144,11.9,0.0119,0.0826,435.94,3045.6,0.8
20250501,2025-05,2025,5,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,6,475.31,492,1573.75,1.5738,3.1987,0.0,8805.6,0.76
20250501,2025-05,2025,5,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),11,4017.39,2798,723.13,0.7231,0.2584,3630.11,19368.92,0.85
20250501,2025-05,2025,5,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,Road (HGV),8,2204.15,1948,242.46,0.2425,0.1245,1217.13,12043.38,0.93
20250501,2025-05,2025,5,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,Road (HGV),7,1026.48,1602,143.71,0.1437,0.0897,721.41,11179.8,0.91
20250501,2025-05,2025,5,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),6,1936.1,1580,48.4,0.0484,0.0306,242.98,12288.36,0.96
20250501,2025-05,2025,5,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,Sea (Container),3,152.68,528,47.64,0.0476,0.0902,1744.67,4746.24,0.78
20250501,2025-05,2025,5,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,Road (HGV),3,1755.96,924,43.9,0.0439,0.0475,220.37,5718.12,0.98
20250501,2025-05,2025,5,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,Sea (Container),2,67.63,144,11.9,0.0119,0.0826,435.94,3011.04,0.8
20250601,2025-06,2025,6,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,Air Freight,2,212.97,272,705.14,0.7051,2.5924,0.0,3940.08,0.76
20250601,2025-06,2025,6,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,Road (HGV),9,2735.27,2092,492.35,0.4923,0.2353,2471.59,16804.0,0.85
