order_id,DateKey,YearMonth,Year,MonthNumber,product_id,supplier_id,supplier_name,warehouse_id,category_name,abc_class,region,country_of_origin,quantity_ordered,unit_cost_gbp,total_cost_gbp,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status,lead_time_performance
PO-000011,20250510,2025-05,2025,5,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,384,4.87,1870.08,11,ROAD,940.42,False,DELIVERED,On Time
PO-000012,20250621,2025-06,2025,6,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,402,4.93,1981.86,13,ROAD,984.5,False,DELIVERED,Slightly Late (<5d)
PO-000013,20250804,2025-08,2025,8,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,402,5.0,2010.0,12,ROAD,984.5,False,DELIVERED,On Time
PO-000014,20250919,2025-09,2025,9,PRD-00001,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,384,5.01,1923.84,12,ROAD,940.42,False,DELIVERED,On Time
PO-000015,20251102,2025-11,2025,11,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,516,4.9,2528.4,14,ROAD,1263.68,False,DELIVERED,Slightly Late (<5d)
PO-000016,20251219,2025-12,2025,12,PRD-00001,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,570,4.99,2844.3,12,ROAD,1395.93,False,IN_TRANSIT,On Time
PO-000017,20240104,2024-01,2024,1,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,240,3.25,780.0,13,ROAD,593.52,False,DELIVERED,Slightly Late (<5d)
PO-000018,20240229,2024-02,2024,2,PRD-00002,SUP-006,MedTrade SRL,WH-001,Household Essentials,C,EUROPEAN,Italy,240,3.34,801.6,16,ROAD,593.52,False,DELIVERED,Slightly Late (<5d)
PO-000019,20240425,2024-04,2024,4,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,288,3.24,933.12,10,ROAD,712.22,False,DELIVERED,On Time
PO-000020,20240627,2024-06,2024,6,PRD-00002,SUP-006,MedTrade SRL,WH-001,Household Essentials,C,EUROPEAN,Italy,336,3.17,1065.12,12,ROAD,830.93,False,DELIVERED,On Time
PO-000021,20240826,2024-08,2024,8,PRD-00002,SUP-006,MedTrade SRL,WH-003,Household Essentials,C,EUROPEAN,Italy,336,3.1,1041.6,10,ROAD,830.93,False,DELIVERED,On Time
PO-000022,20241030,2024-10,2024,10,PRD-00002,SUP-006,MedTrade SRL,WH-001,Household Essentials,C,EUROPEAN,Italy,336,3.21,1078.56,12,ROAD,830.93,False,DELIVERED,On Time
PO-000023,20241225,2024-12,2024,12,PRD-00002,SUP-006,MedTrade SRL,WH-003,Household Essentials,C,EUROPEAN,Italy,456,3.22,1468.32,13,ROAD,1127.69,False,DELIVERED,Slightly Late (<5d)
PO-000024,20250227,2025-02,2025,2,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,240,3.31,794.4,14,ROAD,593.52,False,DELIVERED,Slightly Late (<5d)
PO-000025,20250502,2025-05,2025,5,PRD-00002,SUP-006,MedTrade SRL,WH-001,Household Essentials,C,EUROPEAN,Italy,312,3.2,998.4,11,ROAD,771.58,False,DELIVERED,On Time
PO-000026,20250627,2025-06,2025,6,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,336,3.18,1068.48,15,ROAD,830.93,False,DELIVERED,Slightly Late (<5d)
PO-000027,20250823,2025-08,2025,8,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,336,3.36,1128.96,16,ROAD,830.93,False,DELIVERED,Slightly Late (<5d)
PO-000028,20251019,2025-10,2025,10,PRD-00002,SUP-006,MedTrade SRL,WH-003,Household Essentials,C,EUROPEAN,Italy,336,3.24,1088.64,12,ROAD,830.93,False,DELIVERED,On Time
PO-000029,20251218,2025-12,2025,12,PRD-00002,SUP-006,MedTrade SRL,WH-002,Household Essentials,C,EUROPEAN,Italy,456,3.15,1436.4,13,ROAD,1127.69,False,DELIVERED,Slightly Late (<5d)
PO-000030,20240106,2024-01,2024,1,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,300,4.21,1263.0,17,ROAD,458.4,False,DELIVERED,Slightly Late (<5d)
PO-000031,20240221,2024-02,2024,2,PRD-00003,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,300,4.36,1308.0,12,ROAD,458.4,False,DELIVERED,On Time
PO-000032,20240401,2024-04,2024,4,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,400,4.53,1812.0,22,ROAD,611.2,False,DELIVERED,Late (>5d)
PO-000033,20240515,2024-05,2024,5,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.34,1736.0,14,ROAD,611.2,False,DELIVERED,Slightly Late (<5d)
PO-000034,20240629,2024-06,2024,6,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.52,1808.0,17,ROAD,611.2,False,DELIVERED,Slightly Late (<5d)
PO-000035,20240818,2024-08,2024,8,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,400,4.28,1712.0,10,ROAD,611.2,False,DELIVERED,On Time
PO-000036,20241003,2024-10,2024,10,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.3,1720.0,14,ROAD,611.2,False,DELIVERED,Slightly Late (<5d)
PO-000037,20241119,2024-11,2024,11,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,500,4.43,2215.0,14,ROAD,764.0,False,DELIVERED,Slightly Late (<5d)
PO-000038,20250103,2025-01,2025,1,PRD-00003,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,300,4.23,1269.0,11,ROAD,458.4,False,DELIVERED,On Time
PO-000039,20250216,2025-02,2025,2,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,300,4.5,1350.0,12,ROAD,458.4,False,DELIVERED,On Time
PO-000040,20250403,2025-04,2025,4,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.5,1800.0,13,ROAD,611.2,False,DELIVERED,Slightly Late (<5d)
PO-000041,20250518,2025-05,2025,5,PRD-00003,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,400,4.46,1784.0,12,ROAD,611.2,False,DELIVERED,On Time
PO-000042,20250703,2025-07,2025,7,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.36,1744.0,12,ROAD,611.2,False,DELIVERED,On Time
PO-000043,20250817,2025-08,2025,8,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,400,4.45,1780.0,10,ROAD,611.2,False,DELIVERED,On Time
PO-000044,20250927,2025-09,2025,9,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,400,4.37,1748.0,16,ROAD,611.2,False,DELIVERED,Slightly Late (<5d)
PO-000045,20251106,2025-11,2025,11,PRD-00003,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,500,4.55,2275.0,10,ROAD,764.0,False,DELIVERED,On Time
PO-000046,20251226,2025-12,2025,12,PRD-00003,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,600,4.41,2646.0,10,ROAD,916.8,False,IN_TRANSIT,On Time
PO-000047,20240119,2024-01,2024,1,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,100,12.46,1246.0,10,ROAD,117.4,False,DELIVERED,On Time
PO-000048,20240219,2024-02,2024,2,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,100,12.63,1263.0,12,ROAD,117.4,False,DELIVERED,On Time
PO-000049,20240318,2024-03,2024,3,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.09,2418.0,14,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000050,20240412,2024-04,2024,4,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.42,2484.0,14,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000051,20240515,2024-05,2024,5,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,200,12.25,2450.0,12,ROAD,234.8,False,DELIVERED,On Time
PO-000052,20240612,2024-06,2024,6,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,200,12.45,2490.0,19,,234.8,True,DELIVERED,Late (>5d)
PO-000053,20240711,2024-07,2024,7,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.14,2428.0,13,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000054,20240814,2024-08,2024,8,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.51,2502.0,13,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000055,20240908,2024-09,2024,9,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,200,12.39,2478.0,14,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000056,20241008,2024-10,2024,10,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,200,12.08,2416.0,15,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000057,20241112,2024-11,2024,11,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,200,12.65,2530.0,15,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000058,20241207,2024-12,2024,12,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,300,12.55,3765.0,13,ROAD,352.2,False,DELIVERED,Slightly Late (<5d)
PO-000059,20250107,2025-01,2025,1,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,100,12.65,1265.0,15,ROAD,117.4,False,DELIVERED,Slightly Late (<5d)
PO-000060,20250209,2025-02,2025,2,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,100,12.71,1271.0,10,ROAD,117.4,False,DELIVERED,On Time
PO-000061,20250311,2025-03,2025,3,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.73,2546.0,13,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000062,20250412,2025-04,2025,4,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,200,12.19,2438.0,13,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000063,20250510,2025-05,2025,5,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,200,12.55,2510.0,10,ROAD,234.8,False,DELIVERED,On Time
PO-000064,20250611,2025-06,2025,6,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.07,2414.0,15,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000065,20250712,2025-07,2025,7,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,200,12.7,2540.0,12,ROAD,234.8,False,DELIVERED,On Time
PO-000066,20250810,2025-08,2025,8,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,200,12.88,2576.0,12,ROAD,234.8,False,DELIVERED,On Time
PO-000067,20250905,2025-09,2025,9,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.74,2548.0,14,ROAD,234.8,False,DELIVERED,Slightly Late (<5d)
PO-000068,20251003,2025-10,2025,10,PRD-00004,SUP-006,MedTrade SRL,WH-002,Household Essentials,A,EUROPEAN,Italy,200,12.89,2578.0,11,ROAD,234.8,False,DELIVERED,On Time
PO-000069,20251106,2025-11,2025,11,PRD-00004,SUP-006,MedTrade SRL,WH-003,Household Essentials,A,EUROPEAN,Italy,200,12.66,2532.0,22,ROAD,234.8,False,DELIVERED,Late (>5d)
PO-000070,20251211,2025-12,2025,12,PRD-00004,SUP-006,MedTrade SRL,WH-001,Household Essentials,A,EUROPEAN,Italy,300,12.69,3807.0,12,ROAD,352.2,False,DELIVERED,On Time
PO-000071,20240105,2024-01,2024,1,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,240,5.72,1372.8,10,ROAD,97.44,False,DELIVERED,On Time
PO-000072,20240218,2024-02,2024,2,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,252,5.68,1431.36,9,ROAD,102.31,False,DELIVERED,On Time
PO-000073,20240401,2024-04,2024,4,PRD-00005,SUP-002,EuroFast GmbH,WH-002,Household Essentials,B,EUROPEAN,Germany,300,5.48,1644.0,7,ROAD,121.8,False,DELIVERED,Early (>5d)
PO-000074,20240519,2024-05,2024,5,PRD-00005,SUP-002,EuroFast GmbH,WH-002,Household Essentials,B,EUROPEAN,Germany,318,5.59,1777.62,8,ROAD,129.11,False,DELIVERED,On Time
PO-000075,20240701,2024-07,2024,7,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,348,5.47,1903.56,8,ROAD,141.29,False,DELIVERED,On Time
PO-000076,20240820,2024-08,2024,8,PRD-00005,SUP-002,EuroFast GmbH,WH-002,Household Essentials,B,EUROPEAN,Germany,336,5.34,1794.24,10,ROAD,136.42,False,DELIVERED,On Time
PO-000077,20241007,2024-10,2024,10,PRD-00005,SUP-002,EuroFast GmbH,WH-001,Household Essentials,B,EUROPEAN,Germany,348,5.9,2053.2,7,ROAD,141.29,False,DELIVERED,Early (>5d)
PO-000078,20241118,2024-11,2024,11,PRD-00005,SUP-002,EuroFast GmbH,WH-001,Household Essentials,B,EUROPEAN,Germany,426,5.81,2475.06,8,ROAD,172.96,False,DELIVERED,On Time
PO-000079,20241228,2024-12,2024,12,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,474,5.7,2701.8,8,ROAD,192.44,False,DELIVERED,On Time
PO-000080,20250216,2025-02,2025,2,PRD-00005,SUP-002,EuroFast GmbH,WH-001,Household Essentials,B,EUROPEAN,Germany,252,5.61,1413.72,8,ROAD,102.31,False,DELIVERED,On Time
PO-000081,20250402,2025-04,2025,4,PRD-00005,SUP-002,EuroFast GmbH,WH-001,Household Essentials,B,EUROPEAN,Germany,300,5.36,1608.0,7,ROAD,121.8,False,DELIVERED,Early (>5d)
PO-000082,20250521,2025-05,2025,5,PRD-00005,SUP-002,EuroFast GmbH,WH-001,Household Essentials,B,EUROPEAN,Germany,318,5.57,1771.26,7,ROAD,129.11,False,DELIVERED,Early (>5d)
PO-000083,20250705,2025-07,2025,7,PRD-00005,SUP-002,EuroFast GmbH,WH-002,Household Essentials,B,EUROPEAN,Germany,348,5.5,1914.0,7,ROAD,141.29,False,DELIVERED,Early (>5d)
PO-000084,20250818,2025-08,2025,8,PRD-00005,SUP-002,EuroFast GmbH,WH-002,Household Essentials,B,EUROPEAN,Germany,336,5.66,1901.76,7,ROAD,136.42,False,DELIVERED,Early (>5d)
PO-000085,20251004,2025-10,2025,10,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,348,5.62,1955.76,8,ROAD,141.29,False,DELIVERED,On Time
PO-000086,20251121,2025-11,2025,11,PRD-00005,SUP-002,EuroFast GmbH,WH-003,Household Essentials,B,EUROPEAN,Germany,426,5.65,2406.9,8,ROAD,172.96,False,DELIVERED,On Time
PO-000087,20240130,2024-01,2024,1,PRD-00006,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,180,7.94,1429.2,12,ROAD,198.0,False,DELIVERED,On Time
PO-000088,20240311,2024-03,2024,3,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,216,7.5,1620.0,11,ROAD,237.6,False,DELIVERED,On Time
PO-000089,20240430,2024-04,2024,4,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,228,7.93,1808.04,13,ROAD,250.8,False,DELIVERED,Slightly Late (<5d)
PO-000090,20240617,2024-06,2024,6,PRD-00006,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,252,7.57,1907.64,11,ROAD,277.2,False,DELIVERED,On Time
PO-000091,20240806,2024-08,2024,8,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,252,7.81,1968.12,14,ROAD,277.2,False,DELIVERED,Slightly Late (<5d)
PO-000092,20240917,2024-09,2024,9,PRD-00006,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,240,7.78,1867.2,10,ROAD,264.0,False,DELIVERED,On Time
PO-000093,20241101,2024-11,2024,11,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,324,7.91,2562.84,17,ROAD,356.4,False,DELIVERED,Slightly Late (<5d)
PO-000094,20241220,2024-12,2024,12,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,360,7.57,2725.2,13,ROAD,396.0,False,DELIVERED,Slightly Late (<5d)
PO-000095,20250207,2025-02,2025,2,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,192,7.69,1476.48,14,ROAD,211.2,False,DELIVERED,Slightly Late (<5d)
PO-000096,20250323,2025-03,2025,3,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,216,7.81,1686.96,15,ROAD,237.6,False,DELIVERED,Slightly Late (<5d)
PO-000097,20250506,2025-05,2025,5,PRD-00006,SUP-006,MedTrade SRL,WH-002,Household Essentials,B,EUROPEAN,Italy,240,7.83,1879.2,13,ROAD,264.0,False,DELIVERED,Slightly Late (<5d)
PO-000098,20250617,2025-06,2025,6,PRD-00006,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,252,7.56,1905.12,11,ROAD,277.2,False,DELIVERED,On Time
PO-000099,20250801,2025-08,2025,8,PRD-00006,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,252,7.8,1965.6,13,ROAD,277.2,False,DELIVERED,Slightly Late (<5d)
PO-000100,20250914,2025-09,2025,9,PRD-00006,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,240,7.74,1857.6,12,ROAD,264.0,False,DELIVERED,On Time
PO-000101,20251030,2025-10,2025,10,PRD-00006,SUP-006,MedTrade SRL,WH-003,Household Essentials,B,EUROPEAN,Italy,264,7.94,2096.16,13,ROAD,290.4,False,DELIVERED,Slightly Late (<5d)
PO-000102,20251214,2025-12,2025,12,PRD-00006,SUP-006,MedTrade SRL,WH-001,Household Essentials,B,EUROPEAN,Italy,360,7.76,2793.6,11,ROAD,396.0,False,DELIVERED,On Time
PO-000103,20240125,2024-01,2024,1,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,200,10.39,2078.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000104,20240222,2024-02,2024,2,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.36,2072.0,5,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000105,20240324,2024-03,2024,3,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.31,2062.0,3,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000106,20240426,2024-04,2024,4,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,200,10.41,2082.0,6,,73.4,True,DELIVERED,Early (>5d)
PO-000107,20240530,2024-05,2024,5,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.44,2088.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000108,20240629,2024-06,2024,6,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,200,10.57,2114.0,8,ROAD,73.4,False,DELIVERED,On Time
PO-000109,20240728,2024-07,2024,7,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.28,2056.0,5,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000110,20240830,2024-08,2024,8,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.92,2184.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000111,20241002,2024-10,2024,10,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.72,2144.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000112,20241028,2024-10,2024,10,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.57,2114.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000113,20241125,2024-11,2024,11,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,300,10.59,3177.0,5,ROAD,110.1,False,DELIVERED,Early (>5d)
PO-000114,20241224,2024-12,2024,12,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,300,10.4,3120.0,3,ROAD,110.1,False,DELIVERED,Early (>5d)
PO-000115,20250126,2025-01,2025,1,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.44,2088.0,6,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000116,20250224,2025-02,2025,2,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.42,2084.0,5,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000117,20250329,2025-03,2025,3,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.27,2054.0,3,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000118,20250503,2025-05,2025,5,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.06,2012.0,3,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000119,20250602,2025-06,2025,6,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.29,2058.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000120,20250702,2025-07,2025,7,PRD-00007,SUP-001,BritGoods Ltd,WH-003,Household Essentials,A,DOMESTIC,United Kingdom,200,10.28,2056.0,3,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000121,20250803,2025-08,2025,8,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.55,2110.0,3,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000122,20250901,2025-09,2025,9,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.47,2094.0,5,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000123,20251001,2025-10,2025,10,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,200,10.46,2092.0,5,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000124,20251029,2025-10,2025,10,PRD-00007,SUP-001,BritGoods Ltd,WH-001,Household Essentials,A,DOMESTIC,United Kingdom,200,10.23,2046.0,4,ROAD,73.4,False,DELIVERED,Early (>5d)
PO-000125,20251203,2025-12,2025,12,PRD-00007,SUP-001,BritGoods Ltd,WH-002,Household Essentials,A,DOMESTIC,United Kingdom,300,10.43,3129.0,3,ROAD,110.1,False,DELIVERED,Early (>5d)
PO-000126,20240120,2024-01,2024,1,PRD-00008,SUP-008,LocalPack Ltd,WH-003,Household Essentials,C,DOMESTIC,United Kingdom,200,3.88,776.0,2,ROAD,342.8,False,DELIVERED,Early (>5d)
PO-000127,20240324,2024-03,2024,3,PRD-00008,SUP-008,LocalPack Ltd,WH-003,Household Essentials,C,DOMESTIC,United Kingdom,200,3.8,760.0,3,ROAD,342.8,False,DELIVERED,Early (>5d)
