product_id,supplier_id,abc_class,current_month,n_simulations,avg_daily_demand,mean_demand_during_lt,demand_std_during_lt,demand_p50_during_lt,demand_p95_during_lt,lt_avg_simulated,lt_std_simulated,lt_p50_days,lt_p90_days,lt_p95_days,lt_spike_events_pct,safety_stock_current,safety_stock_optimised,safety_stock_reduction,rop_current,rop_optimised,service_level_target,stockout_prob_current,stockout_prob_optimised,service_level_achieved,eoq,recommended_order_qty,moq,unit_cost_gbp,working_capital_released,annual_holding_cost_curr,annual_holding_cost_opt
PRD-00024,SUP-005,B,11,10000,7.12,74.8,21.6,79,122,10.8,2.2,11,13,14,4.2,36,35,1,111,110,0.9,0.0877,0.0925,0.9075,715,720,6,6.1,6.1,54.9,53.38
PRD-00025,SUP-003,A,11,10000,9.65,231.6,77.7,253,429,26.2,7.1,25,36,41,10.2,129,198,0,361,430,0.95,0.1134,0.0495,0.9505,715,720,48,8.26,0.0,266.38,408.87
PRD-00026,SUP-002,A,11,10000,7.4,66.6,20.1,71,111,9.4,1.9,9,11,13,5.0,34,45,0,101,112,0.95,0.0879,0.0478,0.9522,520,528,24,11.96,0.0,101.66,134.55
PRD-00027,SUP-003,A,11,10000,6.54,157.0,52.8,171,288,26.2,7.1,24,36,41,10.5,88,131,0,246,289,0.95,0.1136,0.0487,0.9513,507,516,12,11.14,0.0,245.08,364.84
PRD-00028,SUP-005,A,11,10000,11.59,121.7,33.7,129,195,10.8,2.2,11,13,14,4.5,56,74,0,178,196,0.95,0.0863,0.0476,0.9524,809,816,48,7.74,0.0,108.36,143.19
PRD-00029,SUP-002,C,11,10000,6.03,54.2,16.6,57,90,9.3,1.9,9,11,12,4.7,28,21,7,83,76,0.85,0.0815,0.1338,0.8662,844,864,24,3.7,25.9,25.9,19.43
PRD-00030,SUP-001,A,11,10000,11.99,54.0,18.8,56,94,4.6,1.1,5,6,6,0.9,32,41,0,86,95,0.95,0.0798,0.0464,0.9536,847,864,24,7.31,0.0,58.48,74.93
PRD-00031,SUP-005,B,11,10000,8.69,91.2,25.4,96,146,10.8,2.2,11,13,14,4.3,42,41,1,134,133,0.9,0.0858,0.0913,0.9087,833,840,24,5.48,5.48,57.54,56.17
PRD-00032,SUP-005,C,11,10000,12.8,134.4,36.3,142,212,10.8,2.1,11,13,14,4.2,60,47,13,195,182,0.85,0.0886,0.1417,0.8583,1871,1872,48,1.6,20.8,24.0,18.8
PRD-00033,SUP-001,A,11,10000,10.84,48.8,17.5,50,86,4.6,1.1,5,6,6,1.0,29,38,0,78,87,0.95,0.0804,0.0444,0.9556,747,800,100,8.5,0.0,61.62,80.75
PRD-00034,SUP-006,C,11,10000,7.44,96.7,27.5,103,157,13.6,2.9,13,17,18,4.9,46,35,11,143,132,0.85,0.0867,0.1422,0.8578,1123,1128,6,2.58,28.38,29.67,22.57
PRD-00035,SUP-006,A,11,10000,10.76,139.9,39.0,149,227,13.5,2.9,13,17,19,5.0,65,88,0,205,228,0.95,0.0938,0.048,0.952,729,744,24,8.86,0.0,143.97,194.92
PRD-00036,SUP-002,B,11,10000,8.19,73.7,21.4,78,122,9.3,1.9,9,11,12,4.8,36,35,1,110,109,0.9,0.0883,0.0938,0.9062,759,762,6,6.22,6.22,55.98,54.42
PRD-00037,SUP-006,B,11,10000,8.69,112.9,32.4,121,186,13.6,2.9,13,17,18,4.9,54,53,1,167,166,0.9,0.0896,0.0939,0.9061,792,800,100,6.06,6.06,81.81,80.3
PRD-00038,SUP-007,A,11,10000,3.62,68.9,24.9,74,126,20.4,5.7,19,28,32,8.5,42,58,0,111,127,0.95,0.0959,0.0471,0.9529,289,300,100,18.94,0.0,198.87,274.63
PRD-00039,SUP-007,A,11,10000,2.82,53.6,19.8,58,99,20.5,5.7,19,28,32,9.2,33,46,0,87,100,0.95,0.0981,0.0464,0.9536,212,216,24,27.49,0.0,226.79,316.13
PRD-00040,SUP-006,A,11,10000,8.85,115.0,31.7,123,185,13.6,2.8,13,17,18,4.5,53,70,0,169,186,0.95,0.0888,0.0471,0.9529,780,792,24,6.36,0.0,84.27,111.3
PRD-00041,SUP-004,A,11,10000,3.6,89.9,28.8,97,161,27.0,6.7,25,36,42,14.4,48,72,0,138,162,0.95,0.1051,0.0465,0.9535,295,336,48,18.03,0.0,216.36,324.54
PRD-00042,SUP-006,A,11,10000,2.82,36.7,11.8,39,62,13.5,2.9,13,17,18,4.8,20,26,0,57,63,0.95,0.0813,0.0447,0.9553,246,252,12,20.34,0.0,101.7,132.21
PRD-00043,SUP-007,A,11,10000,7.07,134.4,46.5,145,243,20.4,5.6,19,27,32,8.5,77,109,0,212,244,0.95,0.1037,0.0489,0.9511,556,600,100,10.0,0.0,192.5,272.5
PRD-00044,SUP-004,A,11,10000,2.73,68.3,22.3,74,123,27.0,6.6,25,36,41,15.1,37,55,0,106,124,0.95,0.1044,0.0457,0.9543,209,216,24,27.26,0.0,252.16,374.83
PRD-00045,SUP-007,A,11,10000,3.3,62.7,22.8,67,116,20.5,5.7,19,28,32,8.7,38,54,0,101,117,0.95,0.1001,0.0456,0.9544,282,288,6,18.15,0.0,172.42,245.02
PRD-00046,SUP-008,B,11,10000,8.54,25.6,11.0,26,47,3.1,0.8,3,4,4,0.4,19,15,4,45,41,0.9,0.0577,0.0875,0.9125,754,768,24,6.57,26.28,31.21,24.64
PRD-00047,SUP-002,C,11,10000,6.44,58.0,17.3,61,97,9.3,1.9,9,11,12,4.9,29,23,6,87,81,0.85,0.0882,0.1322,0.8678,879,888,24,3.65,21.9,26.46,20.99
PRD-00048,SUP-008,B,11,10000,12.16,36.5,15.1,37,67,3.0,0.8,3,4,4,0.3,25,22,3,62,59,0.9,0.0665,0.0846,0.9154,1045,1056,48,4.87,14.61,30.44,26.79
PRD-00049,SUP-008,A,11,10000,10.11,30.3,13.2,31,56,3.0,0.8,3,4,4,0.3,22,26,0,53,57,0.95,0.0637,0.0463,0.9537,646,672,48,10.59,0.0,58.24,68.83
PRD-00050,SUP-001,A,11,10000,10.19,45.9,16.4,47,79,4.6,1.1,5,6,6,0.8,28,34,0,74,80,0.95,0.0698,0.0468,0.9532,669,672,6,9.95,0.0,69.65,84.57
