reporting_period,product_id,product_name,category_code,abc_class,transport_mode,shipment_count,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,avg_carbon_per_unit_kg
2024-02,PRD-00005,Washing Up Liquid 500ml,HHE,B,ROAD,1,252,11.25,0.011254,0.044659
2024-02,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,108,9.94,0.00994,0.09204
2024-02,PRD-00046,Professional Floor Cleaner 5L,CLN,B,ROAD,1,216,9.87,0.009871,0.0457
2024-02,PRD-00024,Hand Sanitiser 500ml,PCA,B,ROAD,1,180,9.02,0.009022,0.05012
2024-02,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,200,9.02,0.009015,0.045075
2024-02,PRD-00021,Deodorant Roll-On 50ml,PCA,A,ROAD,1,120,8.58,0.008585,0.07154
2024-02,PRD-00023,Lip Balm SPF15,PCA,B,ROAD,1,240,7.32,0.007325,0.03052
2024-02,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,200,7.09,0.00709,0.03545
2024-02,PRD-00009,Bathroom Cleaner 500ml,HHE,B,ROAD,1,300,4.71,0.00471,0.0157
2024-02,PRD-00007,Kitchen Cleaner Spray 750ml,HHE,A,ROAD,2,400,3.67,0.00367,0.009175
2024-02,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,114,3.5,0.003496,0.030665
2024-02,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,120,2.85,0.002851,0.02376
2024-02,PRD-00041,Spa Pamper Set,SGF,A,SEA,1,48,2.45,0.00245,0.05104
2024-02,PRD-00030,Instant Hot Chocolate 400g,FBV,A,ROAD,1,216,1.99,0.001987,0.0092
2024-03,PRD-00038,Luxury Bath Gift Set,SGF,A,AIR,1,100,369.84,0.369839,3.698387
2024-03,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,100,266.87,0.266867,2.668666
2024-03,PRD-00045,Festive Reed Diffuser,SGF,A,AIR,1,60,188.73,0.188727,3.14545
2024-03,PRD-00001,Premium Kitchen Roll 6-Pack,HHE,B,ROAD,1,342,150.76,0.150761,0.440821
2024-03,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,1,48,114.26,0.114263,2.380471
2024-03,PRD-00002,Aluminium Foil 30m Roll,HHE,C,ROAD,1,240,106.83,0.106834,0.44514
2024-03,PRD-00047,Industrial Degreaser 2L,CLN,C,ROAD,1,264,103.41,0.103411,0.391708
2024-03,PRD-00003,Cling Film 100m,HHE,B,ROAD,1,300,82.51,0.082512,0.27504
2024-03,PRD-00037,Sparkling Water 12x500ml,FBV,B,ROAD,1,200,66.71,0.066708,0.33354
2024-03,PRD-00031,Organic Honey 340g,FBV,B,ROAD,1,264,55.03,0.055034,0.208462
2024-03,PRD-00011,Sponge Scourers 10-Pack,HHE,A,ROAD,1,200,52.02,0.05202,0.2601
2024-03,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,1,192,49.67,0.049675,0.258723
2024-03,PRD-00006,Dishwasher Tablets 60-Pack,HHE,B,ROAD,1,192,38.02,0.038016,0.198
2024-03,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,168,33.42,0.033415,0.1989
2024-03,PRD-00014,Oven Cleaner 300ml,HHE,A,ROAD,1,300,32.54,0.032538,0.10846
2024-03,PRD-00035,Mixed Nuts 200g,FBV,A,ROAD,1,216,30.44,0.030443,0.140942
2024-03,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,192,26.13,0.026127,0.136078
2024-03,PRD-00016,Moisturising Hand Cream 100ml,PCA,B,ROAD,1,300,26.04,0.02604,0.0868
2024-03,PRD-00004,Bin Bags 40L 50-Pack,HHE,A,ROAD,1,100,21.13,0.021132,0.21132
2024-03,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,1,204,17.2,0.017197,0.0843
2024-03,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,1,192,17.19,0.017191,0.089537
2024-03,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,192,15.35,0.01535,0.079951
2024-03,PRD-00020,Shower Gel 500ml,PCA,A,ROAD,1,180,14.19,0.014188,0.07882
2024-03,PRD-00044,Personalised Mug Gift Box,SGF,A,SEA,2,96,14.01,0.014006,0.145896
2024-03,PRD-00022,Facial Cleanser 150ml,PCA,C,ROAD,1,222,13.33,0.013333,0.060059
2024-03,PRD-00048,Antibacterial Surface Spray 1L,CLN,B,ROAD,1,384,11.86,0.011856,0.030875
2024-03,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,48,11.28,0.011284,0.235088
2024-03,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,120,11.04,0.011045,0.09204
2024-03,PRD-00024,Hand Sanitiser 500ml,PCA,B,ROAD,1,216,10.83,0.010826,0.050121
2024-03,PRD-00021,Deodorant Roll-On 50ml,PCA,A,ROAD,1,144,10.3,0.010301,0.071536
2024-03,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,200,9.02,0.009015,0.045075
2024-03,PRD-00023,Lip Balm SPF15,PCA,B,ROAD,1,288,8.79,0.008789,0.030518
2024-03,PRD-00008,Toilet Cleaner 750ml,HHE,C,ROAD,1,200,8.57,0.00857,0.04285
2024-03,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,200,7.09,0.00709,0.03545
2024-03,PRD-00018,Conditioner 400ml,PCA,A,ROAD,1,100,4.62,0.00462,0.0462
2024-03,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,126,3.86,0.003863,0.030656
2024-03,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,144,3.42,0.003421,0.023757
2024-03,PRD-00041,Spa Pamper Set,SGF,A,SEA,1,48,2.45,0.00245,0.05104
2024-03,PRD-00030,Instant Hot Chocolate 400g,FBV,A,ROAD,1,240,2.21,0.002208,0.0092
2024-03,PRD-00007,Kitchen Cleaner Spray 750ml,HHE,A,ROAD,1,200,1.84,0.001835,0.009175
2024-04,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,100,266.87,0.266867,2.668666
2024-04,PRD-00045,Festive Reed Diffuser,SGF,A,AIR,1,66,207.6,0.2076,3.14545
2024-04,PRD-00032,Extra Virgin Olive Oil 500ml,FBV,C,ROAD,1,528,144.44,0.144439,0.273559
2024-04,PRD-00003,Cling Film 100m,HHE,B,ROAD,1,400,110.02,0.110016,0.27504
2024-04,PRD-00010,Multi-Surface Wipes 80-Pack,HHE,C,ROAD,1,336,108.98,0.108985,0.324359
2024-04,PRD-00037,Sparkling Water 12x500ml,FBV,B,ROAD,1,300,100.06,0.100062,0.33354
2024-04,PRD-00004,Bin Bags 40L 50-Pack,HHE,A,ROAD,2,400,84.53,0.084528,0.21132
2024-04,PRD-00019,Body Lotion 250ml,PCA,C,SEA,1,270,67.14,0.067139,0.248664
2024-04,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,1,240,62.09,0.062093,0.25872
2024-04,PRD-00006,Dishwasher Tablets 60-Pack,HHE,B,ROAD,1,228,45.14,0.045144,0.198
2024-04,PRD-00034,Protein Granola 500g,FBV,C,ROAD,1,300,40.34,0.040338,0.13446
2024-04,PRD-00036,Herbal Tea Variety 40-Pack,FBV,B,ROAD,1,258,39.53,0.039533,0.153228
2024-04,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,192,38.19,0.038189,0.1989
2024-04,PRD-00020,Shower Gel 500ml,PCA,A,ROAD,2,420,33.1,0.033103999999999995,0.07882
2024-04,PRD-00014,Oven Cleaner 300ml,HHE,A,ROAD,1,300,32.54,0.032538,0.10846
2024-04,PRD-00015,Drain Unblocker 500ml,HHE,C,ROAD,1,384,32.27,0.032272,0.084041
2024-04,PRD-00016,Moisturising Hand Cream 100ml,PCA,B,ROAD,1,312,27.08,0.027082,0.0868
2024-04,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,192,26.13,0.026127,0.136078
2024-04,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,1,192,17.19,0.017191,0.089537
2024-04,PRD-00029,English Breakfast Tea 80-Pack,FBV,C,ROAD,1,240,16.32,0.016315,0.06798
2024-04,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,192,15.35,0.01535,0.079951
2024-04,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,60,14.1,0.014105,0.23508
2024-04,PRD-00005,Washing Up Liquid 500ml,HHE,B,ROAD,1,300,13.4,0.013398,0.04466
2024-04,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,132,12.15,0.012149,0.09204
2024-04,PRD-00046,Professional Floor Cleaner 5L,CLN,B,ROAD,1,264,12.06,0.012065,0.0457
2024-04,PRD-00048,Antibacterial Surface Spray 1L,CLN,B,ROAD,1,384,11.86,0.011856,0.030875
2024-04,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,300,10.64,0.010635,0.03545
2024-04,PRD-00021,Deodorant Roll-On 50ml,PCA,A,ROAD,1,144,10.3,0.010301,0.071536
2024-04,PRD-00018,Conditioner 400ml,PCA,A,ROAD,2,200,9.24,0.00924,0.0462
2024-04,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,200,9.02,0.009015,0.045075
2024-04,PRD-00023,Lip Balm SPF15,PCA,B,ROAD,1,288,8.79,0.008789,0.030518
2024-04,PRD-00041,Spa Pamper Set,SGF,A,SEA,2,144,7.35,0.00735,0.05104
2024-04,PRD-00044,Personalised Mug Gift Box,SGF,A,SEA,1,48,7.0,0.007003,0.145896
2024-04,PRD-00009,Bathroom Cleaner 500ml,HHE,B,ROAD,1,300,4.71,0.00471,0.0157
2024-04,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,132,4.05,0.004047,0.030662
2024-04,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,144,3.42,0.003421,0.023757
2024-05,PRD-00045,Festive Reed Diffuser,SGF,A,AIR,2,144,452.94,0.452944,3.14545
2024-05,PRD-00038,Luxury Bath Gift Set,SGF,A,AIR,1,100,369.84,0.369839,3.698387
2024-05,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,100,266.87,0.266867,2.668666
2024-05,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,2,96,228.53,0.228526,2.380471
2024-05,PRD-00001,Premium Kitchen Roll 6-Pack,HHE,B,ROAD,1,360,158.7,0.158695,0.44082
2024-05,PRD-00002,Aluminium Foil 30m Roll,HHE,C,ROAD,1,288,128.2,0.1282,0.445138
2024-05,PRD-00047,Industrial Degreaser 2L,CLN,C,ROAD,1,288,112.81,0.112813,0.391711
2024-05,PRD-00011,Sponge Scourers 10-Pack,HHE,A,ROAD,2,400,104.04,0.10404,0.2601
2024-05,PRD-00035,Mixed Nuts 200g,FBV,A,ROAD,2,456,64.27,0.064269,0.140941
2024-05,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,1,240,62.09,0.062093,0.25872
2024-05,PRD-00031,Organic Honey 340g,FBV,B,ROAD,1,264,55.03,0.055034,0.208462
2024-05,PRD-00004,Bin Bags 40L 50-Pack,HHE,A,ROAD,1,200,42.26,0.042264,0.21132
2024-05,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,192,38.19,0.038189,0.1989
2024-05,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,2,444,37.43,0.037429000000000004,0.0843
2024-05,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,240,32.66,0.032659,0.13608
2024-05,PRD-00014,Oven Cleaner 300ml,HHE,A,ROAD,1,300,32.54,0.032538,0.10846
2024-05,PRD-00021,Deodorant Roll-On 50ml,PCA,A,ROAD,2,336,24.04,0.024038,0.071542
2024-05,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,240,19.19,0.019188,0.07995
2024-05,PRD-00020,Shower Gel 500ml,PCA,A,ROAD,1,228,17.97,0.01797,0.078818
2024-05,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,1,192,17.19,0.017191,0.089537
2024-05,PRD-00022,Facial Cleanser 150ml,PCA,C,ROAD,1,246,14.78,0.014775,0.060062
2024-05,PRD-00005,Washing Up Liquid 500ml,HHE,B,ROAD,1,318,14.2,0.014202,0.044661
2024-05,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,60,14.1,0.014105,0.23508
2024-05,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,144,13.25,0.013254,0.09204
2024-05,PRD-00008,Toilet Cleaner 750ml,HHE,C,ROAD,1,300,12.86,0.012855,0.04285
2024-05,PRD-00024,Hand Sanitiser 500ml,PCA,B,ROAD,1,228,11.43,0.011427,0.050118
2024-05,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,300,10.64,0.010635,0.03545
2024-05,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,200,9.02,0.009015,0.045075
2024-05,PRD-00009,Bathroom Cleaner 500ml,HHE,B,ROAD,1,400,6.28,0.00628,0.0157
2024-05,PRD-00030,Instant Hot Chocolate 400g,FBV,A,ROAD,2,528,4.86,0.004858,0.0092
2024-05,PRD-00018,Conditioner 400ml,PCA,A,ROAD,1,100,4.62,0.00462,0.0462
2024-05,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,168,3.99,0.003992,0.023761
2024-05,PRD-00007,Kitchen Cleaner Spray 750ml,HHE,A,ROAD,1,200,1.84,0.001835,0.009175
2024-05,PRD-00017,Daily Shampoo 400ml,PCA,A,SEA,1,138,0.12,0.000121,0.000876
2024-06,PRD-00038,Luxury Bath Gift Set,SGF,A,AIR,2,200,739.68,0.739678,3.698387
2024-06,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,200,533.73,0.533733,2.668666
2024-06,PRD-00001,Premium Kitchen Roll 6-Pack,HHE,B,ROAD,1,402,177.21,0.17721,0.440821
2024-06,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,1,72,171.41,0.171411,2.380701
2024-06,PRD-00032,Extra Virgin Olive Oil 500ml,FBV,C,ROAD,1,576,157.57,0.15757,0.273559
2024-06,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,2,528,136.6,0.136604,0.258719
2024-06,PRD-00010,Multi-Surface Wipes 80-Pack,HHE,C,ROAD,1,384,124.55,0.124555,0.324361
2024-06,PRD-00041,Spa Pamper Set,SGF,A,AIR,1,96,112.29,0.11229,1.169686
2024-06,PRD-00003,Cling Film 100m,HHE,B,ROAD,1,400,110.02,0.110016,0.27504
2024-06,PRD-00037,Sparkling Water 12x500ml,FBV,B,ROAD,1,300,100.06,0.100062,0.33354
2024-06,PRD-00019,Body Lotion 250ml,PCA,C,SEA,1,300,74.6,0.074599,0.248664
2024-06,PRD-00014,Oven Cleaner 300ml,HHE,A,ROAD,2,600,65.08,0.065076,0.10846
2024-06,PRD-00031,Organic Honey 340g,FBV,B,ROAD,1,312,65.04,0.06504,0.208461
2024-06,PRD-00011,Sponge Scourers 10-Pack,HHE,A,ROAD,1,200,52.02,0.05202,0.2601
2024-06,PRD-00006,Dishwasher Tablets 60-Pack,HHE,B,ROAD,1,240,47.52,0.04752,0.198
2024-06,PRD-00034,Protein Granola 500g,FBV,C,ROAD,1,330,44.37,0.044372,0.13446
2024-06,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,216,42.96,0.042962,0.1989
2024-06,PRD-00036,Herbal Tea Variety 40-Pack,FBV,B,ROAD,1,276,42.29,0.042292,0.153231
2024-06,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,2,432,38.68,0.038682,0.08954
2024-06,PRD-00015,Drain Unblocker 500ml,HHE,C,ROAD,1,432,36.31,0.036306,0.084041
2024-06,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,240,32.66,0.032659,0.13608
2024-06,PRD-00016,Moisturising Hand Cream 100ml,PCA,B,ROAD,1,348,30.21,0.030206,0.0868
2024-06,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,1,240,20.23,0.020232,0.0843
2024-06,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,240,19.19,0.019188,0.07995
2024-06,PRD-00029,English Breakfast Tea 80-Pack,FBV,C,ROAD,1,264,17.95,0.017946,0.067979
2024-06,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,60,14.1,0.014105,0.23508
2024-06,PRD-00044,Personalised Mug Gift Box,SGF,A,SEA,2,96,14.01,0.014006,0.145896
2024-06,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,300,13.52,0.013523,0.045075
2024-06,PRD-00048,Antibacterial Surface Spray 1L,CLN,B,ROAD,1,432,13.34,0.013338,0.030875
2024-06,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,144,13.25,0.013254,0.09204
2024-06,PRD-00046,Professional Floor Cleaner 5L,CLN,B,ROAD,1,288,13.16,0.013162,0.0457
2024-06,PRD-00024,Hand Sanitiser 500ml,PCA,B,ROAD,1,252,12.63,0.012631,0.050122
2024-06,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,300,10.64,0.010635,0.03545
2024-06,PRD-00023,Lip Balm SPF15,PCA,B,ROAD,1,288,8.79,0.008789,0.030518
2024-06,PRD-00041,Spa Pamper Set,SGF,A,SEA,1,96,4.9,0.0049,0.05104
2024-06,PRD-00018,Conditioner 400ml,PCA,A,ROAD,1,100,4.62,0.00462,0.0462
2024-06,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,144,4.42,0.004416,0.030664
2024-06,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,168,3.99,0.003992,0.023761
2024-06,PRD-00007,Kitchen Cleaner Spray 750ml,HHE,A,ROAD,1,200,1.84,0.001835,0.009175
2024-07,PRD-00043,Premium Notebook and Pen Set,SGF,A,AIR,1,200,533.73,0.533733,2.668666
2024-07,PRD-00038,Luxury Bath Gift Set,SGF,A,AIR,1,100,369.84,0.369839,3.698387
2024-07,PRD-00045,Festive Reed Diffuser,SGF,A,AIR,1,78,245.35,0.245345,3.14545
2024-07,PRD-00039,Premium Scented Candle Set,SGF,A,AIR,1,72,171.41,0.171411,2.380701
2024-07,PRD-00002,Aluminium Foil 30m Roll,HHE,C,ROAD,1,336,149.57,0.149567,0.445141
2024-07,PRD-00047,Industrial Degreaser 2L,CLN,C,ROAD,1,288,112.81,0.112813,0.391711
2024-07,PRD-00003,Cling Film 100m,HHE,B,ROAD,1,400,110.02,0.110016,0.27504
2024-07,PRD-00004,Bin Bags 40L 50-Pack,HHE,A,ROAD,2,400,84.53,0.084528,0.21132
2024-07,PRD-00028,Premium Ground Coffee 250g,FBV,A,ROAD,1,288,74.51,0.074511,0.258718
2024-07,PRD-00035,Mixed Nuts 200g,FBV,A,ROAD,2,504,71.03,0.071034,0.14094
2024-07,PRD-00006,Dishwasher Tablets 60-Pack,HHE,B,ROAD,1,264,52.27,0.052272,0.198
2024-07,PRD-00011,Sponge Scourers 10-Pack,HHE,A,ROAD,1,200,52.02,0.05202,0.2601
2024-07,PRD-00036,Herbal Tea Variety 40-Pack,FBV,B,ROAD,1,300,45.97,0.045969,0.15323
2024-07,PRD-00040,Artisan Chocolate Selection Box,SGF,A,ROAD,1,216,42.96,0.042962,0.1989
2024-07,PRD-00020,Shower Gel 500ml,PCA,A,ROAD,2,492,38.78,0.038779999999999995,0.078821
2024-07,PRD-00013,Rubber Gloves Medium Pair,HHE,A,ROAD,1,240,32.66,0.032659,0.13608
2024-07,PRD-00021,Deodorant Roll-On 50ml,PCA,A,ROAD,2,360,25.75,0.025754,0.07154
2024-07,PRD-00025,Toothpaste Whitening 100ml,PCA,A,SEA,1,240,21.49,0.021491,0.089544
2024-07,PRD-00050,Fabric Softener 1.5L,CLN,A,ROAD,1,252,21.24,0.021244,0.0843
2024-07,PRD-00049,Laundry Detergent 2.5kg,CLN,A,ROAD,1,240,19.19,0.019188,0.07995
2024-07,PRD-00022,Facial Cleanser 150ml,PCA,C,ROAD,1,270,16.22,0.016216,0.06006
2024-07,PRD-00005,Washing Up Liquid 500ml,HHE,B,ROAD,1,348,15.54,0.015542,0.044661
2024-07,PRD-00027,Cotton Buds 200-Pack,PCA,A,SEA,1,156,14.36,0.014358,0.09204
2024-07,PRD-00046,Professional Floor Cleaner 5L,CLN,B,ROAD,1,312,14.26,0.014258,0.0457
2024-07,PRD-00042,Aromatherapy Diffuser Kit,SGF,A,ROAD,1,60,14.1,0.014105,0.23508
2024-07,PRD-00033,Apple Cider Vinegar 500ml,FBV,A,ROAD,1,300,13.52,0.013523,0.045075
2024-07,PRD-00048,Antibacterial Surface Spray 1L,CLN,B,ROAD,1,432,13.34,0.013338,0.030875
2024-07,PRD-00008,Toilet Cleaner 750ml,HHE,C,ROAD,1,300,12.86,0.012855,0.04285
2024-07,PRD-00012,Paper Towels 12-Roll,HHE,A,ROAD,1,300,10.64,0.010635,0.03545
2024-07,PRD-00044,Personalised Mug Gift Box,SGF,A,SEA,1,72,10.51,0.010505,0.145908
2024-07,PRD-00023,Lip Balm SPF15,PCA,B,ROAD,1,336,10.26,0.010255,0.030521
2024-07,PRD-00009,Bathroom Cleaner 500ml,HHE,B,ROAD,1,400,6.28,0.00628,0.0157
2024-07,PRD-00017,Daily Shampoo 400ml,PCA,A,ROAD,1,156,4.78,0.004782,0.030656
2024-07,PRD-00026,Mouthwash Fresh Mint 500ml,PCA,A,ROAD,1,168,3.99,0.003992,0.023761
2024-07,PRD-00030,Instant Hot Chocolate 400g,FBV,A,ROAD,1,288,2.65,0.00265,0.0092
2024-07,PRD-00007,Kitchen Cleaner Spray 750ml,HHE,A,ROAD,1,200,1.84,0.001835,0.009175
2024-07,PRD-00018,Conditioner 400ml,PCA,A,RAIL,1,100,0.29,0.000294,0.00294
