order_id,product_id,supplier_id,warehouse_id,quantity_ordered,unit_cost_gbp,total_cost_gbp,order_date,expected_delivery_date,actual_delivery_date,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status
PO-000022,PRD-00002,SUP-006,WH-001,336,3.21,1078.56,2025-07-12,2025-07-24,2025-07-27,12,ROAD,830.93,False,DELIVERED
PO-000023,PRD-00002,SUP-006,WH-003,312,3.22,1004.64,2025-09-06,2025-09-19,2025-09-20,13,ROAD,771.58,False,DELIVERED
PO-000024,PRD-00002,SUP-006,WH-002,408,3.31,1350.48,2025-11-09,2025-11-23,2025-11-26,14,ROAD,1008.98,False,DELIVERED
PO-000025,PRD-00003,SUP-006,WH-001,200,4.35,870.0,2024-01-09,2024-01-20,2024-01-20,11,ROAD,305.6,False,DELIVERED
PO-000026,PRD-00003,SUP-006,WH-001,200,4.32,864.0,2024-03-08,2024-03-23,2024-03-25,15,ROAD,305.6,False,DELIVERED
PO-000027,PRD-00003,SUP-006,WH-003,200,4.57,914.0,2024-05-03,2024-05-19,2024-05-20,16,ROAD,305.6,False,DELIVERED
PO-000028,PRD-00003,SUP-006,WH-003,200,4.4,880.0,2024-06-29,2024-07-11,2024-07-10,12,ROAD,305.6,False,DELIVERED
PO-000029,PRD-00003,SUP-006,WH-002,200,4.29,858.0,2024-08-28,2024-09-10,2024-09-09,13,ROAD,305.6,False,DELIVERED
PO-000030,PRD-00003,SUP-006,WH-001,200,4.21,842.0,2024-10-27,2024-11-13,2024-11-14,17,ROAD,305.6,False,DELIVERED
PO-000031,PRD-00003,SUP-006,WH-002,300,4.36,1308.0,2024-12-21,2025-01-02,2025-01-03,12,ROAD,458.4,False,DELIVERED
PO-000032,PRD-00003,SUP-006,WH-001,200,4.53,906.0,2025-02-14,2025-03-08,2025-03-08,22,ROAD,305.6,False,DELIVERED
PO-000033,PRD-00003,SUP-006,WH-003,200,4.34,868.0,2025-04-14,2025-04-28,2025-05-01,14,ROAD,305.6,False,DELIVERED
PO-000034,PRD-00003,SUP-006,WH-003,200,4.52,904.0,2025-06-13,2025-06-30,2025-07-02,17,ROAD,305.6,False,DELIVERED
PO-000035,PRD-00003,SUP-006,WH-001,200,4.28,856.0,2025-08-17,2025-08-27,2025-08-30,10,ROAD,305.6,False,DELIVERED
PO-000036,PRD-00003,SUP-006,WH-003,200,4.3,860.0,2025-10-17,2025-10-31,2025-10-31,14,ROAD,305.6,False,DELIVERED
PO-000037,PRD-00003,SUP-006,WH-003,300,4.43,1329.0,2025-12-18,2026-01-01,2025-12-31,14,ROAD,458.4,False,DELIVERED
PO-000038,PRD-00004,SUP-006,WH-002,100,11.98,1198.0,2024-01-28,2024-02-08,2024-02-09,11,ROAD,117.4,False,DELIVERED
PO-000039,PRD-00004,SUP-006,WH-001,100,12.75,1275.0,2024-03-12,2024-03-24,2024-03-25,12,ROAD,117.4,False,DELIVERED
PO-000040,PRD-00004,SUP-006,WH-003,100,12.74,1274.0,2024-04-27,2024-05-10,2024-05-11,13,ROAD,117.4,False,DELIVERED
PO-000041,PRD-00004,SUP-006,WH-002,200,12.65,2530.0,2024-06-11,2024-06-23,2024-06-22,12,ROAD,234.8,False,DELIVERED
PO-000042,PRD-00004,SUP-006,WH-003,200,12.36,2472.0,2024-07-27,2024-08-08,2024-08-07,12,ROAD,234.8,False,DELIVERED
PO-000043,PRD-00004,SUP-006,WH-003,200,12.62,2524.0,2024-09-10,2024-09-20,2024-09-19,10,ROAD,234.8,False,DELIVERED
PO-000044,PRD-00004,SUP-006,WH-001,200,12.38,2476.0,2024-10-21,2024-11-06,2024-11-05,16,ROAD,234.8,False,DELIVERED
PO-000045,PRD-00004,SUP-006,WH-003,200,12.88,2576.0,2024-11-30,2024-12-10,2024-12-11,10,ROAD,234.8,False,DELIVERED
PO-000046,PRD-00004,SUP-006,WH-001,100,12.49,1249.0,2025-01-19,2025-01-29,2025-01-30,10,ROAD,117.4,False,DELIVERED
PO-000047,PRD-00004,SUP-006,WH-002,100,12.46,1246.0,2025-03-06,2025-03-16,2025-03-17,10,ROAD,117.4,False,DELIVERED
PO-000048,PRD-00004,SUP-006,WH-003,100,12.63,1263.0,2025-04-21,2025-05-03,2025-05-05,12,ROAD,117.4,False,DELIVERED
PO-000049,PRD-00004,SUP-006,WH-003,200,12.09,2418.0,2025-06-03,2025-06-17,2025-06-17,14,ROAD,234.8,False,DELIVERED
PO-000050,PRD-00004,SUP-006,WH-003,200,12.42,2484.0,2025-07-13,2025-07-27,2025-07-30,14,ROAD,234.8,False,DELIVERED
PO-000051,PRD-00004,SUP-006,WH-001,200,12.25,2450.0,2025-08-30,2025-09-11,2025-09-12,12,ROAD,234.8,False,DELIVERED
PO-000052,PRD-00004,SUP-006,WH-003,200,12.45,2490.0,2025-10-12,2025-10-31,2025-11-01,19,ROAD,234.8,False,DELIVERED
PO-000053,PRD-00004,SUP-006,WH-001,200,12.14,2428.0,2025-11-28,2025-12-11,2025-12-12,13,ROAD,234.8,False,DELIVERED
PO-000054,PRD-00005,SUP-002,WH-003,126,5.64,710.64,2024-01-19,2024-01-28,2024-01-28,9,ROAD,51.16,False,DELIVERED
PO-000055,PRD-00005,SUP-002,WH-002,150,5.59,838.5,2024-03-14,2024-03-24,2024-03-27,10,ROAD,60.9,False,DELIVERED
PO-000056,PRD-00005,SUP-002,WH-001,168,5.45,915.6,2024-05-13,2024-05-23,2024-05-24,10,ROAD,68.21,False,DELIVERED
PO-000057,PRD-00005,SUP-002,WH-002,186,5.7,1060.2,2024-07-17,2024-07-27,2024-07-27,10,ROAD,75.52,False,DELIVERED
PO-000058,PRD-00005,SUP-002,WH-001,168,5.66,950.88,2024-09-10,2024-09-19,2024-09-22,9,ROAD,68.21,False,DELIVERED
PO-000059,PRD-00005,SUP-002,WH-001,228,5.7,1299.6,2024-11-10,2024-11-20,2024-11-21,10,ROAD,92.57,False,DELIVERED
PO-000060,PRD-00005,SUP-002,WH-001,126,5.73,721.98,2025-01-12,2025-01-19,2025-01-20,7,ROAD,51.16,False,DELIVERED
PO-000061,PRD-00005,SUP-002,WH-003,150,5.74,861.0,2025-03-13,2025-03-22,2025-03-24,9,ROAD,60.9,False,DELIVERED
PO-000062,PRD-00005,SUP-002,WH-002,168,5.5,924.0,2025-05-14,2025-05-23,2025-05-26,9,ROAD,68.21,False,DELIVERED
PO-000063,PRD-00005,SUP-002,WH-001,186,5.66,1052.76,2025-07-11,2025-07-18,2025-07-20,7,ROAD,75.52,False,DELIVERED
PO-000064,PRD-00005,SUP-002,WH-003,168,5.44,913.92,2025-09-11,2025-09-21,2025-09-22,10,ROAD,68.21,False,DELIVERED
PO-000065,PRD-00005,SUP-002,WH-001,228,5.73,1306.44,2025-11-11,2025-11-19,2025-11-19,8,ROAD,92.57,False,DELIVERED
PO-000066,PRD-00006,SUP-006,WH-001,96,8.02,769.92,2024-01-12,2024-01-24,2024-01-25,12,ROAD,105.6,False,DELIVERED
PO-000067,PRD-00006,SUP-006,WH-003,120,7.93,951.6,2024-03-08,2024-03-22,2024-03-21,14,ROAD,132.0,False,DELIVERED
PO-000068,PRD-00006,SUP-006,WH-002,132,8.02,1058.64,2024-05-05,2024-05-16,2024-05-19,11,ROAD,145.2,False,DELIVERED
PO-000069,PRD-00006,SUP-006,WH-002,144,7.88,1134.72,2024-07-08,2024-07-30,2024-08-01,22,ROAD,158.4,False,DELIVERED
PO-000070,PRD-00006,SUP-006,WH-003,132,7.9,1042.8,2024-09-09,2024-09-21,2024-09-24,12,ROAD,145.2,False,DELIVERED
PO-000071,PRD-00006,SUP-006,WH-001,168,7.9,1327.2,2024-11-13,2024-11-28,2024-12-01,15,ROAD,184.8,False,DELIVERED
PO-000072,PRD-00006,SUP-006,WH-002,96,7.83,751.68,2025-01-08,2025-01-21,2025-01-23,13,ROAD,105.6,False,DELIVERED
PO-000073,PRD-00006,SUP-006,WH-003,120,7.57,908.4,2025-03-12,2025-03-22,2025-03-21,10,ROAD,132.0,False,DELIVERED
PO-000074,PRD-00006,SUP-006,WH-001,132,7.72,1019.04,2025-05-15,2025-05-26,2025-05-26,11,ROAD,145.2,False,DELIVERED
PO-000075,PRD-00006,SUP-006,WH-002,144,7.55,1087.2,2025-07-13,2025-07-25,2025-07-26,12,ROAD,158.4,False,DELIVERED
PO-000076,PRD-00006,SUP-006,WH-003,132,7.37,972.84,2025-09-08,2025-09-22,2025-09-22,14,ROAD,145.2,False,DELIVERED
PO-000077,PRD-00006,SUP-006,WH-003,168,7.7,1293.6,2025-11-12,2025-12-07,2025-12-10,25,ROAD,184.8,False,DELIVERED
PO-000078,PRD-00007,SUP-001,WH-001,100,10.41,1041.0,2024-01-31,2024-02-05,2024-02-08,5,ROAD,36.7,False,DELIVERED
PO-000079,PRD-00007,SUP-001,WH-003,200,10.07,2014.0,2024-03-19,2024-03-23,2024-03-24,4,ROAD,73.4,False,DELIVERED
PO-000080,PRD-00007,SUP-001,WH-003,200,10.39,2078.0,2024-04-30,2024-05-04,2024-05-03,4,ROAD,73.4,False,DELIVERED
PO-000081,PRD-00007,SUP-001,WH-002,200,10.25,2050.0,2024-06-19,2024-06-22,2024-06-21,3,ROAD,73.4,False,DELIVERED
PO-000082,PRD-00007,SUP-001,WH-003,200,10.21,2042.0,2024-07-30,2024-08-03,2024-08-03,4,ROAD,73.4,False,DELIVERED
PO-000083,PRD-00007,SUP-001,WH-001,200,10.38,2076.0,2024-09-10,2024-09-15,2024-09-15,5,ROAD,73.4,False,DELIVERED
PO-000084,PRD-00007,SUP-001,WH-001,200,10.69,2138.0,2024-10-21,2024-10-25,2024-10-27,4,ROAD,73.4,False,DELIVERED
PO-000085,PRD-00007,SUP-001,WH-002,300,10.16,3048.0,2024-12-01,2024-12-05,2024-12-08,4,ROAD,110.1,False,DELIVERED
PO-000086,PRD-00007,SUP-001,WH-002,100,10.33,1033.0,2025-01-20,2025-01-25,2025-01-27,5,ROAD,36.7,False,DELIVERED
PO-000087,PRD-00007,SUP-001,WH-002,200,10.4,2080.0,2025-03-02,2025-03-05,2025-03-05,3,ROAD,73.4,False,DELIVERED
PO-000088,PRD-00007,SUP-001,WH-002,200,10.53,2106.0,2025-04-21,2025-04-25,2025-04-28,4,ROAD,73.4,False,DELIVERED
PO-000089,PRD-00007,SUP-001,WH-002,200,10.45,2090.0,2025-06-01,2025-06-04,2025-06-03,3,ROAD,73.4,False,DELIVERED
PO-000090,PRD-00007,SUP-001,WH-001,200,10.31,2062.0,2025-07-15,2025-07-20,2025-07-20,5,ROAD,73.4,False,DELIVERED
PO-000091,PRD-00007,SUP-001,WH-002,200,10.46,2092.0,2025-08-29,2025-09-02,2025-09-05,4,ROAD,73.4,False,DELIVERED
PO-000092,PRD-00007,SUP-001,WH-002,200,10.68,2136.0,2025-10-13,2025-10-17,2025-10-19,4,ROAD,73.4,False,DELIVERED
PO-000093,PRD-00007,SUP-001,WH-001,200,10.18,2036.0,2025-11-27,2025-12-01,2025-12-03,4,ROAD,73.4,False,DELIVERED
PO-000094,PRD-00008,SUP-008,WH-003,200,3.77,754.0,2024-01-25,2024-01-27,2024-01-29,2,ROAD,342.8,False,DELIVERED
PO-000095,PRD-00008,SUP-008,WH-003,200,3.75,750.0,2024-03-26,2024-03-28,2024-03-30,2,ROAD,342.8,False,DELIVERED
PO-000096,PRD-00008,SUP-008,WH-002,300,3.79,1137.0,2024-05-29,2024-06-01,2024-06-01,3,ROAD,514.2,False,DELIVERED
PO-000097,PRD-00008,SUP-008,WH-002,300,3.76,1128.0,2024-07-27,2024-07-29,2024-07-28,2,ROAD,514.2,False,DELIVERED
PO-000098,PRD-00008,SUP-008,WH-002,300,3.69,1107.0,2024-09-24,2024-09-26,2024-09-28,2,ROAD,514.2,False,DELIVERED
PO-000099,PRD-00008,SUP-008,WH-001,400,3.71,1484.0,2024-11-20,2024-11-23,2024-11-24,3,ROAD,685.6,False,DELIVERED
PO-000100,PRD-00008,SUP-008,WH-001,200,3.84,768.0,2025-01-19,2025-01-22,2025-01-25,3,ROAD,342.8,False,DELIVERED
PO-000101,PRD-00008,SUP-008,WH-003,200,3.86,772.0,2025-03-19,2025-03-23,2025-03-25,4,ROAD,342.8,False,DELIVERED
PO-000102,PRD-00008,SUP-008,WH-003,300,3.64,1092.0,2025-05-19,2025-05-21,2025-05-24,2,ROAD,514.2,False,DELIVERED
PO-000103,PRD-00008,SUP-008,WH-001,300,3.72,1116.0,2025-07-18,2025-07-20,2025-07-21,2,ROAD,514.2,False,DELIVERED
PO-000104,PRD-00008,SUP-008,WH-003,300,3.73,1119.0,2025-09-21,2025-09-23,2025-09-25,2,ROAD,514.2,False,DELIVERED
PO-000105,PRD-00008,SUP-008,WH-003,400,3.61,1444.0,2025-11-25,2025-11-27,2025-11-30,2,ROAD,685.6,False,DELIVERED
PO-000106,PRD-00009,SUP-001,WH-001,100,5.02,502.0,2024-01-14,2024-01-18,2024-01-19,4,ROAD,62.8,False,DELIVERED
PO-000107,PRD-00009,SUP-001,WH-002,200,4.89,978.0,2024-03-15,2024-03-21,2024-03-20,6,ROAD,125.6,False,DELIVERED
PO-000108,PRD-00009,SUP-001,WH-002,200,4.76,952.0,2024-05-17,2024-05-22,2024-05-22,5,ROAD,125.6,False,DELIVERED
PO-000109,PRD-00009,SUP-001,WH-002,200,5.05,1010.0,2024-07-20,2024-07-24,2024-07-26,4,ROAD,125.6,False,DELIVERED
PO-000110,PRD-00009,SUP-001,WH-001,200,4.96,992.0,2024-09-20,2024-09-24,2024-09-23,4,ROAD,125.6,False,DELIVERED
PO-000111,PRD-00009,SUP-001,WH-002,300,4.89,1467.0,2024-11-24,2024-11-28,2024-11-29,4,ROAD,188.4,False,DELIVERED
PO-000112,PRD-00009,SUP-001,WH-003,100,4.9,490.0,2025-01-18,2025-01-23,2025-01-25,5,ROAD,62.8,False,DELIVERED
PO-000113,PRD-00009,SUP-001,WH-001,200,4.81,962.0,2025-03-18,2025-03-21,2025-03-22,3,ROAD,125.6,False,DELIVERED
PO-000114,PRD-00009,SUP-001,WH-001,200,4.83,966.0,2025-05-20,2025-05-26,2025-05-29,6,ROAD,125.6,False,DELIVERED
PO-000115,PRD-00009,SUP-001,WH-002,200,4.82,964.0,2025-07-15,2025-07-20,2025-07-20,5,ROAD,125.6,False,DELIVERED
PO-000116,PRD-00009,SUP-001,WH-003,200,4.75,950.0,2025-09-11,2025-09-14,2025-09-14,3,ROAD,125.6,False,DELIVERED
PO-000117,PRD-00009,SUP-001,WH-003,300,4.65,1395.0,2025-11-09,2025-11-12,2025-11-14,3,ROAD,188.4,False,DELIVERED
PO-000118,PRD-00010,SUP-006,WH-001,288,2.65,763.2,2024-01-22,2024-02-03,2024-02-03,12,ROAD,518.98,False,DELIVERED
PO-000119,PRD-00010,SUP-006,WH-001,336,2.65,890.4,2024-03-17,2024-03-27,2024-03-29,10,ROAD,605.47,False,DELIVERED
PO-000120,PRD-00010,SUP-006,WH-001,384,2.72,1044.48,2024-05-13,2024-05-24,2024-05-27,11,ROAD,691.97,False,DELIVERED
PO-000121,PRD-00010,SUP-006,WH-002,384,2.7,1036.8,2024-07-14,2024-07-28,2024-07-29,14,ROAD,691.97,False,DELIVERED
PO-000122,PRD-00010,SUP-006,WH-002,384,2.69,1032.96,2024-09-12,2024-09-27,2024-09-29,15,ROAD,691.97,False,DELIVERED
PO-000123,PRD-00010,SUP-006,WH-001,480,2.64,1267.2,2024-11-13,2024-11-26,2024-11-27,13,ROAD,864.96,False,DELIVERED
PO-000124,PRD-00010,SUP-006,WH-002,288,2.69,774.72,2025-01-17,2025-01-28,2025-01-27,11,ROAD,518.98,False,DELIVERED
PO-000125,PRD-00010,SUP-006,WH-001,336,2.79,937.44,2025-03-18,2025-03-30,2025-04-01,12,ROAD,605.47,False,DELIVERED
PO-000126,PRD-00010,SUP-006,WH-002,384,2.73,1048.32,2025-05-17,2025-05-31,2025-06-02,14,ROAD,691.97,False,DELIVERED
PO-000127,PRD-00010,SUP-006,WH-001,384,2.71,1040.64,2025-07-14,2025-07-26,2025-07-28,12,ROAD,691.97,False,DELIVERED
PO-000128,PRD-00010,SUP-006,WH-002,384,2.65,1017.6,2025-09-17,2025-10-03,2025-10-06,16,ROAD,691.97,False,DELIVERED
PO-000129,PRD-00010,SUP-006,WH-003,480,2.61,1252.8,2025-11-18,2025-12-03,2025-12-06,15,ROAD,864.96,False,DELIVERED
PO-000130,PRD-00011,SUP-006,WH-002,100,13.36,1336.0,2024-01-11,2024-01-25,2024-01-26,14,ROAD,144.5,False,DELIVERED
PO-000131,PRD-00011,SUP-006,WH-001,100,13.34,1334.0,2024-02-22,2024-03-08,2024-03-11,15,ROAD,144.5,False,DELIVERED
PO-000132,PRD-00011,SUP-006,WH-003,100,13.01,1301.0,2024-04-06,2024-04-16,2024-04-19,10,ROAD,144.5,False,DELIVERED
PO-000133,PRD-00011,SUP-006,WH-001,100,13.38,1338.0,2024-05-22,2024-06-07,2024-06-10,16,ROAD,144.5,False,DELIVERED
PO-000134,PRD-00011,SUP-006,WH-002,200,12.9,2580.0,2024-07-01,2024-07-12,2024-07-12,11,ROAD,289.0,False,DELIVERED
PO-000135,PRD-00011,SUP-006,WH-003,100,13.07,1307.0,2024-08-18,2024-09-01,2024-09-01,14,ROAD,144.5,False,DELIVERED
PO-000136,PRD-00011,SUP-006,WH-003,100,12.91,1291.0,2024-09-30,2024-10-12,2024-10-13,12,ROAD,144.5,False,DELIVERED
PO-000137,PRD-00011,SUP-006,WH-002,200,13.32,2664.0,2024-11-16,2024-11-29,2024-11-30,13,ROAD,289.0,False,DELIVERED
PO-000138,PRD-00011,SUP-006,WH-003,100,13.28,1328.0,2025-01-05,2025-01-18,2025-01-21,13,ROAD,144.5,False,DELIVERED
PO-000139,PRD-00011,SUP-006,WH-003,100,13.8,1380.0,2025-02-22,2025-03-07,2025-03-10,13,ROAD,144.5,False,DELIVERED
PO-000140,PRD-00011,SUP-006,WH-003,100,13.46,1346.0,2025-04-05,2025-04-19,2025-04-19,14,ROAD,144.5,False,DELIVERED
PO-000141,PRD-00011,SUP-006,WH-002,100,12.92,1292.0,2025-05-24,2025-06-03,2025-06-02,10,ROAD,144.5,False,DELIVERED
PO-000142,PRD-00011,SUP-006,WH-001,200,12.88,2576.0,2025-07-07,2025-07-19,2025-07-19,12,ROAD,289.0,False,DELIVERED
PO-000143,PRD-00011,SUP-006,WH-001,100,13.0,1300.0,2025-08-20,2025-08-30,2025-08-31,10,ROAD,144.5,False,DELIVERED
PO-000144,PRD-00011,SUP-006,WH-001,200,13.21,2642.0,2025-10-06,2025-10-22,2025-10-21,16,ROAD,289.0,False,DELIVERED
PO-000145,PRD-00011,SUP-006,WH-002,200,13.36,2672.0,2025-11-25,2025-12-09,2025-12-12,14,ROAD,289.0,False,DELIVERED
PO-000146,PRD-00012,SUP-001,WH-003,100,8.52,852.0,2024-01-31,2024-02-04,2024-02-04,4,ROAD,141.8,False,DELIVERED
PO-000147,PRD-00012,SUP-001,WH-002,100,8.44,844.0,2024-03-31,2024-04-04,2024-04-03,4,ROAD,141.8,False,DELIVERED
PO-000148,PRD-00012,SUP-001,WH-002,100,8.33,833.0,2024-06-04,2024-06-07,2024-06-07,3,ROAD,141.8,False,DELIVERED
PO-000149,PRD-00012,SUP-001,WH-002,100,8.2,820.0,2024-07-31,2024-08-04,2024-08-03,4,ROAD,141.8,False,DELIVERED
PO-000150,PRD-00012,SUP-001,WH-003,100,8.05,805.0,2024-09-24,2024-09-27,2024-09-28,3,ROAD,141.8,False,DELIVERED
PO-000151,PRD-00012,SUP-001,WH-001,200,8.36,1672.0,2024-11-22,2024-11-26,2024-11-25,4,ROAD,283.6,False,DELIVERED
PO-000152,PRD-00012,SUP-001,WH-002,100,8.42,842.0,2025-01-24,2025-01-29,2025-01-28,5,ROAD,141.8,False,DELIVERED
PO-000153,PRD-00012,SUP-001,WH-001,100,8.37,837.0,2025-03-30,2025-04-05,2025-04-05,6,ROAD,141.8,False,DELIVERED
PO-000154,PRD-00012,SUP-001,WH-001,100,8.38,838.0,2025-05-27,2025-06-01,2025-06-03,5,ROAD,141.8,False,DELIVERED
PO-000155,PRD-00012,SUP-001,WH-003,100,8.25,825.0,2025-07-26,2025-07-30,2025-08-01,4,ROAD,141.8,False,DELIVERED
PO-000156,PRD-00012,SUP-001,WH-003,100,8.33,833.0,2025-09-25,2025-09-30,2025-10-01,5,ROAD,141.8,False,DELIVERED
PO-000157,PRD-00012,SUP-001,WH-003,200,8.35,1670.0,2025-11-22,2025-11-25,2025-11-27,3,ROAD,283.6,False,DELIVERED
PO-000158,PRD-00013,SUP-006,WH-003,144,9.51,1369.44,2024-01-16,2024-01-26,2024-01-26,10,ROAD,108.86,False,DELIVERED
PO-000159,PRD-00013,SUP-006,WH-002,144,9.61,1383.84,2024-02-28,2024-03-14,2024-03-13,15,ROAD,108.86,False,DELIVERED
PO-000160,PRD-00013,SUP-006,WH-001,192,9.19,1764.48,2024-04-18,2024-04-28,2024-04-28,10,ROAD,145.15,False,DELIVERED
PO-000161,PRD-00013,SUP-006,WH-001,192,9.4,1804.8,2024-05-30,2024-06-09,2024-06-11,10,ROAD,145.15,False,DELIVERED
PO-000162,PRD-00013,SUP-006,WH-003,240,9.46,2270.4,2024-07-15,2024-07-30,2024-07-30,15,ROAD,181.44,False,DELIVERED
PO-000163,PRD-00013,SUP-006,WH-003,192,9.4,1804.8,2024-09-03,2024-09-19,2024-09-20,16,ROAD,145.15,False,DELIVERED
PO-000164,PRD-00013,SUP-006,WH-003,240,9.33,2239.2,2024-10-18,2024-11-02,2024-11-04,15,ROAD,181.44,False,DELIVERED
PO-000165,PRD-00013,SUP-006,WH-002,288,9.5,2736.0,2024-12-04,2024-12-14,2024-12-15,10,ROAD,217.73,False,DELIVERED
PO-000166,PRD-00013,SUP-006,WH-003,144,9.67,1392.48,2025-01-15,2025-01-28,2025-01-28,13,ROAD,108.86,False,DELIVERED
PO-000167,PRD-00013,SUP-006,WH-002,144,9.82,1414.08,2025-02-27,2025-03-11,2025-03-13,12,ROAD,108.86,False,DELIVERED
PO-000168,PRD-00013,SUP-006,WH-003,192,9.2,1766.4,2025-04-17,2025-04-28,2025-04-27,11,ROAD,145.15,False,DELIVERED
PO-000169,PRD-00013,SUP-006,WH-003,192,9.52,1827.84,2025-06-06,2025-06-16,2025-06-17,10,ROAD,145.15,False,DELIVERED
PO-000170,PRD-00013,SUP-006,WH-003,240,9.69,2325.6,2025-07-17,2025-07-29,2025-07-30,12,ROAD,181.44,False,DELIVERED
PO-000171,PRD-00013,SUP-006,WH-002,192,9.63,1848.96,2025-09-03,2025-09-15,2025-09-14,12,ROAD,145.15,False,DELIVERED
PO-000172,PRD-00013,SUP-006,WH-001,240,9.49,2277.6,2025-10-17,2025-11-11,2025-11-14,25,ROAD,181.44,False,DELIVERED
PO-000173,PRD-00013,SUP-006,WH-003,288,9.23,2658.24,2025-11-27,2025-12-08,2025-12-10,11,ROAD,217.73,False,DELIVERED
PO-000174,PRD-00014,SUP-002,WH-002,100,7.39,739.0,2024-01-13,2024-01-22,2024-01-25,9,ROAD,98.6,False,DELIVERED
PO-000175,PRD-00014,SUP-002,WH-001,100,7.55,755.0,2024-03-17,2024-03-28,2024-03-27,11,ROAD,98.6,False,DELIVERED
PO-000176,PRD-00014,SUP-002,WH-002,100,7.41,741.0,2024-05-16,2024-05-25,2024-05-24,9,ROAD,98.6,False,DELIVERED
PO-000177,PRD-00014,SUP-002,WH-001,100,7.31,731.0,2024-07-11,2024-07-20,2024-07-21,9,ROAD,98.6,False,DELIVERED
PO-000178,PRD-00014,SUP-002,WH-003,100,7.27,727.0,2024-09-04,2024-09-11,2024-09-10,7,ROAD,98.6,False,DELIVERED
PO-000179,PRD-00014,SUP-002,WH-003,200,7.78,1556.0,2024-11-06,2024-11-15,2024-11-16,9,ROAD,197.2,False,DELIVERED
PO-000180,PRD-00014,SUP-002,WH-001,100,7.48,748.0,2025-01-02,2025-01-12,2025-01-14,10,ROAD,98.6,False,DELIVERED
PO-000181,PRD-00014,SUP-002,WH-003,100,7.42,742.0,2025-03-03,2025-03-11,2025-03-13,8,ROAD,98.6,False,DELIVERED
PO-000182,PRD-00014,SUP-002,WH-002,100,7.43,743.0,2025-04-30,2025-05-08,2025-05-11,8,ROAD,98.6,False,DELIVERED
