snapshot_date,product_id,warehouse_id,stock_on_hand,stock_cover_days,avg_daily_demand,is_stock_out,is_slow_mover,is_at_risk,stock_value_gbp,abc_class
2024-01-01,PRD-00047,WH-002,286,79.9,3.58,False,False,False,1043.9,C
2024-01-01,PRD-00048,WH-003,540,79.9,6.76,False,False,False,2629.8,B
2024-01-01,PRD-00049,WH-002,449,80.0,5.62,False,False,False,4754.91,A
2024-01-01,PRD-00050,WH-003,453,80.0,5.66,False,False,False,4507.35,A
2024-02-01,PRD-00001,WH-002,577,85.1,6.78,False,False,False,2856.15,B
2024-02-01,PRD-00002,WH-003,432,104.8,4.12,False,True,False,1395.36,C
2024-02-01,PRD-00003,WH-001,622,86.6,7.18,False,False,False,2730.58,B
2024-02-01,PRD-00004,WH-002,337,68.5,4.92,False,False,False,4192.28,A
2024-02-01,PRD-00005,WH-002,502,89.0,5.64,False,False,False,2816.22,B
2024-02-01,PRD-00006,WH-003,370,87.0,4.26,False,False,False,2863.8,B
2024-02-01,PRD-00007,WH-003,445,82.0,5.43,False,False,False,4645.8,A
2024-02-01,PRD-00008,WH-001,360,98.5,3.65,False,True,False,1350.0,C
2024-02-01,PRD-00009,WH-001,588,90.6,6.49,False,False,False,2840.04,B
2024-02-01,PRD-00010,WH-002,207,41.8,4.95,False,False,False,556.83,C
2024-02-01,PRD-00011,WH-001,196,43.9,4.46,False,False,False,2565.64,A
2024-02-01,PRD-00012,WH-001,520,70.3,7.39,False,False,False,4326.4,A
2024-02-01,PRD-00013,WH-002,302,47.8,6.32,False,False,False,2859.94,A
2024-02-01,PRD-00014,WH-002,367,48.4,7.59,False,False,False,2737.82,A
2024-02-01,PRD-00015,WH-003,251,44.9,5.59,False,False,False,614.95,C
2024-02-01,PRD-00016,WH-003,509,87.2,5.84,False,False,False,2147.98,B
2024-02-01,PRD-00017,WH-002,282,75.4,3.74,False,False,False,3979.02,A
2024-02-01,PRD-00018,WH-001,245,73.3,3.34,False,False,False,3954.3,A
2024-02-01,PRD-00019,WH-003,418,103.5,4.04,False,True,False,1024.1,C
2024-02-01,PRD-00020,WH-002,291,47.7,6.1,False,False,False,2319.27,A
2024-02-01,PRD-00021,WH-002,341,74.8,4.56,False,False,False,3396.36,A
2024-02-01,PRD-00022,WH-002,326,98.6,3.31,False,True,False,867.16,C
2024-02-01,PRD-00023,WH-002,251,46.9,5.35,False,False,False,1064.24,B
2024-02-01,PRD-00024,WH-001,202,47.9,4.22,False,False,False,1232.2,B
2024-02-01,PRD-00025,WH-003,399,69.8,5.72,False,False,False,3295.74,A
2024-02-01,PRD-00026,WH-002,326,74.3,4.39,False,False,False,3898.96,A
2024-02-01,PRD-00027,WH-002,170,43.8,3.88,False,False,False,1893.8,A
2024-02-01,PRD-00028,WH-002,499,72.6,6.87,False,False,False,3862.26,A
2024-02-01,PRD-00029,WH-002,356,99.7,3.57,False,True,False,1317.2,C
2024-02-01,PRD-00030,WH-003,525,73.9,7.11,False,False,False,3837.75,A
2024-02-01,PRD-00031,WH-002,235,45.6,5.15,False,False,False,1287.8,B
2024-02-01,PRD-00032,WH-003,326,43.0,7.58,False,False,False,521.6,C
2024-02-01,PRD-00033,WH-002,489,76.1,6.42,False,False,False,4156.5,A
2024-02-01,PRD-00034,WH-002,192,43.6,4.41,False,False,False,495.36,C
2024-02-01,PRD-00035,WH-002,438,68.7,6.38,False,False,False,3880.68,A
2024-02-01,PRD-00036,WH-001,435,89.6,4.85,False,False,False,2705.7,B
2024-02-01,PRD-00037,WH-002,426,82.8,5.15,False,False,False,2581.56,B
2024-02-01,PRD-00038,WH-002,106,49.3,2.15,False,False,False,2007.64,A
2024-02-01,PRD-00039,WH-003,122,72.9,1.67,False,False,False,3353.78,A
2024-02-01,PRD-00040,WH-003,367,70.0,5.24,False,False,False,2334.12,A
2024-02-01,PRD-00041,WH-001,140,65.7,2.13,False,False,False,2524.2,A
2024-02-01,PRD-00042,WH-001,80,47.8,1.67,False,False,False,1627.2,A
2024-02-01,PRD-00043,WH-001,288,68.7,4.19,False,False,False,2880.0,A
2024-02-01,PRD-00044,WH-003,74,45.7,1.62,False,False,False,2017.24,A
2024-02-01,PRD-00045,WH-001,86,44.0,1.95,False,False,False,1560.9,A
2024-02-01,PRD-00046,WH-003,442,87.3,5.06,False,False,False,2903.94,B
2024-02-01,PRD-00047,WH-001,392,102.7,3.82,False,True,False,1430.8,C
2024-02-01,PRD-00048,WH-002,616,85.5,7.21,False,False,False,2999.92,B
2024-02-01,PRD-00049,WH-003,453,75.6,5.99,False,False,False,4797.27,A
2024-02-01,PRD-00050,WH-003,425,70.4,6.04,False,False,False,4228.75,A
2024-03-01,PRD-00001,WH-001,403,52.8,7.63,False,False,False,1994.85,B
2024-03-01,PRD-00002,WH-003,317,68.3,4.64,False,False,False,1023.91,C
2024-03-01,PRD-00003,WH-003,439,54.3,8.08,False,False,False,1927.21,B
2024-03-01,PRD-00004,WH-003,180,32.5,5.53,False,False,False,2239.2,A
2024-03-01,PRD-00005,WH-002,573,90.3,6.35,False,False,False,3214.53,B
2024-03-01,PRD-00006,WH-001,255,53.3,4.79,False,False,False,1973.7,B
2024-03-01,PRD-00007,WH-002,478,78.3,6.11,False,False,False,4990.32,A
2024-03-01,PRD-00008,WH-002,231,56.2,4.11,False,False,False,866.25,C
2024-03-01,PRD-00009,WH-002,698,95.5,7.31,False,False,False,3371.34,B
2024-03-01,PRD-00010,WH-002,364,65.3,5.57,False,False,False,979.16,C
2024-03-01,PRD-00011,WH-002,241,48.0,5.02,False,False,False,3154.69,A
2024-03-01,PRD-00012,WH-002,520,62.5,8.32,False,False,False,4326.4,A
2024-03-01,PRD-00013,WH-001,294,41.4,7.11,False,False,False,2784.18,A
2024-03-01,PRD-00014,WH-001,328,38.4,8.54,False,False,False,2446.88,A
2024-03-01,PRD-00015,WH-001,418,66.4,6.29,False,False,False,1024.1,C
2024-03-01,PRD-00016,WH-003,352,53.6,6.57,False,False,False,1485.44,B
2024-03-01,PRD-00017,WH-002,267,63.4,4.21,False,False,False,3767.37,A
2024-03-01,PRD-00018,WH-003,176,46.8,3.76,False,False,False,2840.64,A
2024-03-01,PRD-00019,WH-001,314,69.1,4.55,False,False,False,769.3,C
2024-03-01,PRD-00020,WH-003,272,39.6,6.86,False,False,False,2167.84,A
2024-03-01,PRD-00021,WH-001,273,53.3,5.13,False,False,False,2719.08,A
2024-03-01,PRD-00022,WH-001,238,64.0,3.72,False,False,False,633.08,C
2024-03-01,PRD-00023,WH-001,303,50.3,6.02,False,False,False,1284.72,B
2024-03-01,PRD-00024,WH-002,289,60.9,4.75,False,False,False,1762.9,B
2024-03-01,PRD-00025,WH-003,230,35.7,6.43,False,False,False,1899.8,A
2024-03-01,PRD-00026,WH-002,312,63.2,4.94,False,False,False,3731.52,A
2024-03-01,PRD-00027,WH-001,172,39.4,4.36,False,False,False,1916.08,A
2024-03-01,PRD-00028,WH-002,321,41.5,7.73,False,False,False,2484.54,A
2024-03-01,PRD-00029,WH-001,270,67.2,4.02,False,False,False,999.0,C
2024-03-01,PRD-00030,WH-002,543,67.9,8.0,False,False,False,3969.33,A
2024-03-01,PRD-00031,WH-002,358,61.8,5.79,False,False,False,1961.84,B
2024-03-01,PRD-00032,WH-003,587,68.8,8.53,False,False,False,939.2,C
2024-03-01,PRD-00033,WH-003,549,76.0,7.23,False,False,False,4666.5,A
2024-03-01,PRD-00034,WH-001,297,59.9,4.96,False,False,False,766.26,C
2024-03-01,PRD-00035,WH-001,502,70.0,7.17,False,False,False,4447.72,A
2024-03-01,PRD-00036,WH-002,492,90.1,5.46,False,False,False,3060.24,B
2024-03-01,PRD-00037,WH-001,264,45.6,5.79,False,False,False,1599.84,B
2024-03-01,PRD-00038,WH-001,244,101.0,2.42,False,False,False,4621.36,A
2024-03-01,PRD-00039,WH-001,133,70.7,1.88,False,False,False,3656.17,A
2024-03-01,PRD-00040,WH-003,400,67.8,5.9,False,False,False,2544.0,A
2024-03-01,PRD-00041,WH-001,73,30.4,2.4,False,False,False,1316.19,A
2024-03-01,PRD-00042,WH-002,75,39.8,1.88,False,False,False,1525.5,A
2024-03-01,PRD-00043,WH-001,273,57.9,4.71,False,False,False,2730.0,A
2024-03-01,PRD-00044,WH-002,51,28.0,1.82,False,False,False,1390.26,A
2024-03-01,PRD-00045,WH-001,84,38.2,2.2,False,False,False,1524.6,A
2024-03-01,PRD-00046,WH-001,519,91.1,5.7,False,False,False,3409.83,B
2024-03-01,PRD-00047,WH-001,265,61.7,4.3,False,False,False,967.25,C
2024-03-01,PRD-00048,WH-003,392,48.3,8.11,False,False,False,1909.04,B
2024-03-01,PRD-00049,WH-002,457,67.8,6.74,False,False,False,4839.63,A
2024-03-01,PRD-00050,WH-002,495,72.8,6.8,False,False,False,4925.25,A
2024-04-01,PRD-00001,WH-001,511,63.5,8.05,False,False,False,2529.45,B
2024-04-01,PRD-00002,WH-003,381,77.8,4.9,False,False,False,1230.63,C
2024-04-01,PRD-00003,WH-003,511,59.9,8.53,False,False,False,2243.29,B
2024-04-01,PRD-00004,WH-003,280,47.9,5.84,False,False,False,3483.2,A
2024-04-01,PRD-00005,WH-002,367,54.8,6.7,False,False,False,2058.87,B
2024-04-01,PRD-00006,WH-002,279,55.2,5.05,False,False,False,2159.46,B
2024-04-01,PRD-00007,WH-003,543,84.2,6.45,False,False,False,5668.92,A
2024-04-01,PRD-00008,WH-002,369,85.1,4.34,False,False,False,1383.75,C
2024-04-01,PRD-00009,WH-001,534,69.3,7.71,False,False,False,2579.22,B
2024-04-01,PRD-00010,WH-002,227,38.6,5.88,False,False,False,610.63,C
2024-04-01,PRD-00011,WH-002,303,57.2,5.3,False,False,False,3966.27,A
2024-04-01,PRD-00012,WH-001,491,55.9,8.78,False,False,False,4085.12,A
2024-04-01,PRD-00013,WH-003,297,39.6,7.5,False,False,False,2812.59,A
2024-04-01,PRD-00014,WH-003,492,54.6,9.01,False,False,False,3670.32,A
2024-04-01,PRD-00015,WH-002,295,44.4,6.64,False,False,False,722.75,C
2024-04-01,PRD-00016,WH-003,438,63.2,6.93,False,False,False,1848.36,B
2024-04-01,PRD-00017,WH-001,335,75.4,4.44,False,False,False,4726.85,A
2024-04-01,PRD-00018,WH-002,243,61.2,3.97,False,False,False,3922.02,A
2024-04-01,PRD-00019,WH-002,156,32.5,4.8,False,False,False,382.2,C
2024-04-01,PRD-00020,WH-003,145,20.0,7.25,False,False,False,1155.65,A
2024-04-01,PRD-00021,WH-001,323,59.7,5.41,False,False,False,3217.08,A
2024-04-01,PRD-00022,WH-002,308,78.5,3.93,False,False,False,819.28,C
2024-04-01,PRD-00023,WH-002,379,59.6,6.36,False,False,False,1606.96,B
2024-04-01,PRD-00024,WH-001,321,64.1,5.01,False,False,False,1958.1,B
2024-04-01,PRD-00025,WH-003,255,37.5,6.79,False,False,False,2106.3,A
2024-04-01,PRD-00026,WH-003,323,62.0,5.21,False,False,False,3863.08,A
2024-04-01,PRD-00027,WH-002,186,40.4,4.6,False,False,False,2072.04,A
2024-04-01,PRD-00028,WH-001,299,36.6,8.16,False,False,False,2314.26,A
2024-04-01,PRD-00029,WH-001,126,29.7,4.24,False,False,False,466.2,C
2024-04-01,PRD-00030,WH-003,452,53.6,8.44,False,False,False,3304.12,A
2024-04-01,PRD-00031,WH-002,450,73.6,6.11,False,False,False,2466.0,B
2024-04-01,PRD-00032,WH-002,296,32.9,9.0,False,False,False,473.6,C
2024-04-01,PRD-00033,WH-002,452,59.3,7.63,False,False,False,3842.0,A
2024-04-01,PRD-00034,WH-002,191,36.5,5.23,False,False,False,492.78,C
2024-04-01,PRD-00035,WH-003,480,63.4,7.57,False,False,False,4252.8,A
2024-04-01,PRD-00036,WH-001,377,65.4,5.76,False,False,False,2344.94,B
2024-04-01,PRD-00037,WH-001,316,51.7,6.11,False,False,False,1914.96,B
2024-04-01,PRD-00038,WH-003,279,109.4,2.55,False,False,False,5284.26,A
2024-04-01,PRD-00039,WH-002,111,55.9,1.99,False,False,False,3051.39,A
2024-04-01,PRD-00040,WH-003,386,62.0,6.23,False,False,False,2454.96,A
2024-04-01,PRD-00041,WH-003,62,24.5,2.53,False,False,False,1117.86,A
2024-04-01,PRD-00042,WH-002,77,38.8,1.99,False,False,False,1566.18,A
2024-04-01,PRD-00043,WH-002,240,48.2,4.98,False,False,False,2400.0,A
2024-04-01,PRD-00044,WH-001,79,41.1,1.92,False,False,False,2153.54,A
2024-04-01,PRD-00045,WH-001,69,29.7,2.32,False,False,False,1252.35,A
2024-04-01,PRD-00046,WH-001,369,61.4,6.01,False,False,False,2424.33,B
2024-04-01,PRD-00047,WH-001,386,85.1,4.53,False,False,False,1408.9,C
2024-04-01,PRD-00048,WH-001,502,58.7,8.56,False,False,False,2444.74,B
2024-04-01,PRD-00049,WH-001,504,70.9,7.11,False,False,False,5337.36,A
2024-04-01,PRD-00050,WH-003,467,65.1,7.17,False,False,False,4646.65,A
2024-05-01,PRD-00001,WH-003,304,35.9,8.47,False,False,False,1504.8,B
2024-05-01,PRD-00002,WH-002,219,42.5,5.15,False,False,False,707.37,C
2024-05-01,PRD-00003,WH-003,537,59.8,8.98,False,False,False,2357.43,B
2024-05-01,PRD-00004,WH-003,455,74.0,6.15,False,False,False,5660.2,A
2024-05-01,PRD-00005,WH-003,488,69.2,7.05,False,False,False,2737.68,B
2024-05-01,PRD-00006,WH-003,341,64.1,5.32,False,False,False,2639.34,B
2024-05-01,PRD-00007,WH-002,264,38.9,6.79,False,False,False,2756.16,A
2024-05-01,PRD-00008,WH-001,174,38.1,4.57,False,False,False,652.5,C
2024-05-01,PRD-00009,WH-001,423,52.1,8.12,False,False,False,2043.09,B
2024-05-01,PRD-00010,WH-003,316,51.0,6.19,False,False,False,850.04,C
2024-05-01,PRD-00011,WH-003,262,47.0,5.58,False,False,False,3429.58,A
2024-05-01,PRD-00012,WH-001,563,60.9,9.24,False,False,False,4684.16,A
2024-05-01,PRD-00013,WH-003,437,55.4,7.89,False,False,False,4138.39,A
2024-05-01,PRD-00014,WH-001,437,46.1,9.48,False,False,False,3260.02,A
2024-05-01,PRD-00015,WH-001,312,44.6,6.99,False,False,False,764.4,C
2024-05-01,PRD-00016,WH-002,589,80.7,7.3,False,False,False,2485.58,B
2024-05-01,PRD-00017,WH-003,292,62.4,4.68,False,False,False,4120.12,A
2024-05-01,PRD-00018,WH-002,219,52.4,4.18,False,False,False,3534.66,A
2024-05-01,PRD-00019,WH-003,166,32.9,5.05,False,False,False,406.7,C
2024-05-01,PRD-00020,WH-003,456,59.8,7.63,False,False,False,3634.32,A
2024-05-01,PRD-00021,WH-003,244,42.8,5.7,False,False,False,2430.24,A
2024-05-01,PRD-00022,WH-001,215,52.0,4.13,False,False,False,571.9,C
2024-05-01,PRD-00023,WH-003,552,82.5,6.69,False,False,False,2340.48,B
2024-05-01,PRD-00024,WH-002,206,39.1,5.27,False,False,False,1256.6,B
2024-05-01,PRD-00025,WH-002,253,35.4,7.15,False,False,False,2089.78,A
2024-05-01,PRD-00026,WH-003,307,56.0,5.48,False,False,False,3671.72,A
2024-05-01,PRD-00027,WH-001,365,75.3,4.85,False,False,False,4066.1,A
2024-05-01,PRD-00028,WH-002,530,61.7,8.59,False,False,False,4102.2,A
2024-05-01,PRD-00029,WH-002,290,65.0,4.46,False,False,False,1073.0,C
2024-05-01,PRD-00030,WH-003,305,34.3,8.88,False,False,False,2229.55,A
2024-05-01,PRD-00031,WH-002,272,42.3,6.44,False,False,False,1490.56,B
2024-05-01,PRD-00032,WH-001,545,57.5,9.48,False,False,False,872.0,C
2024-05-01,PRD-00033,WH-002,507,63.1,8.03,False,False,False,4309.5,A
2024-05-01,PRD-00034,WH-003,226,41.0,5.51,False,False,False,583.08,C
2024-05-01,PRD-00035,WH-001,286,35.9,7.97,False,False,False,2533.96,A
2024-05-01,PRD-00036,WH-001,450,74.2,6.07,False,False,False,2799.0,B
2024-05-01,PRD-00037,WH-002,391,60.8,6.44,False,False,False,2369.46,B
2024-05-01,PRD-00038,WH-001,146,54.4,2.68,False,False,False,2765.24,A
2024-05-01,PRD-00039,WH-002,48,22.9,2.09,False,False,False,1319.52,A
2024-05-01,PRD-00040,WH-001,379,57.8,6.55,False,False,False,2410.44,A
2024-05-01,PRD-00041,WH-001,114,42.8,2.66,False,False,False,2055.42,A
2024-05-01,PRD-00042,WH-003,65,31.1,2.09,False,False,False,1322.1,A
2024-05-01,PRD-00043,WH-003,197,37.6,5.24,False,False,False,1970.0,A
2024-05-01,PRD-00044,WH-002,43,21.3,2.02,False,False,False,1172.18,A
2024-05-01,PRD-00045,WH-003,95,38.9,2.44,False,False,False,1724.25,A
2024-05-01,PRD-00046,WH-002,441,69.7,6.33,False,False,False,2897.37,B
2024-05-01,PRD-00047,WH-002,325,68.1,4.77,False,False,False,1186.25,C
2024-05-01,PRD-00048,WH-003,822,91.2,9.01,False,False,False,4003.14,B
2024-05-01,PRD-00049,WH-003,401,53.6,7.49,False,False,False,4246.59,A
2024-05-01,PRD-00050,WH-003,237,31.4,7.55,False,False,False,2358.15,A
2024-06-01,PRD-00001,WH-003,385,43.3,8.9,False,False,False,1905.75,B
2024-06-01,PRD-00002,WH-002,352,65.0,5.41,False,False,False,1136.96,C
2024-06-01,PRD-00003,WH-001,786,83.4,9.43,False,False,False,3450.54,B
2024-06-01,PRD-00004,WH-002,399,61.8,6.45,False,False,False,4963.56,A
2024-06-01,PRD-00005,WH-003,566,76.4,7.4,False,False,False,3175.26,B
2024-06-01,PRD-00006,WH-001,207,37.1,5.59,False,False,False,1602.18,B
2024-06-01,PRD-00007,WH-002,456,64.0,7.13,False,False,False,4760.64,A
2024-06-01,PRD-00008,WH-003,285,59.4,4.79,False,False,False,1068.75,C
2024-06-01,PRD-00009,WH-003,487,57.1,8.52,False,False,False,2352.21,B
2024-06-01,PRD-00010,WH-003,173,26.6,6.5,False,False,False,465.37,C
2024-06-01,PRD-00011,WH-001,421,71.9,5.86,False,False,False,5510.89,A
2024-06-01,PRD-00012,WH-003,575,59.3,9.7,False,False,False,4784.0,A
2024-06-01,PRD-00013,WH-003,244,29.4,8.29,False,False,False,2310.68,A
2024-06-01,PRD-00014,WH-001,326,32.7,9.96,False,False,False,2431.96,A
2024-06-01,PRD-00015,WH-003,163,22.2,7.34,False,False,False,399.35,C
2024-06-01,PRD-00016,WH-001,397,51.8,7.66,False,False,False,1675.34,B
2024-06-01,PRD-00017,WH-003,329,67.0,4.91,False,False,False,4642.19,A
2024-06-01,PRD-00018,WH-002,62,14.1,4.39,False,False,False,1000.68,A
2024-06-01,PRD-00019,WH-001,178,33.6,5.3,False,False,False,436.1,C
2024-06-01,PRD-00020,WH-003,334,41.7,8.01,False,False,False,2661.98,A
2024-06-01,PRD-00021,WH-002,509,85.1,5.98,False,False,False,5069.64,A
2024-06-01,PRD-00022,WH-003,317,73.1,4.34,False,False,False,843.22,C
2024-06-01,PRD-00023,WH-002,216,30.7,7.03,False,False,False,915.84,B
2024-06-01,PRD-00024,WH-001,182,32.9,5.54,False,False,False,1110.2,B
2024-06-01,PRD-00025,WH-001,28,3.7,7.51,False,False,True,231.28,A
2024-06-01,PRD-00026,WH-002,313,54.4,5.76,False,False,False,3743.48,A
2024-06-01,PRD-00027,WH-001,70,13.8,5.09,False,False,True,779.8,A
2024-06-01,PRD-00028,WH-003,94,10.4,9.02,False,False,True,727.56,A
2024-06-01,PRD-00029,WH-003,160,34.1,4.69,False,False,False,592.0,C
2024-06-01,PRD-00030,WH-003,381,40.8,9.33,False,False,False,2785.11,A
2024-06-01,PRD-00031,WH-002,271,40.1,6.76,False,False,False,1485.08,B
2024-06-01,PRD-00032,WH-001,309,31.0,9.95,False,False,False,494.4,C
2024-06-01,PRD-00033,WH-002,408,48.4,8.43,False,False,False,3468.0,A
2024-06-01,PRD-00034,WH-002,88,15.2,5.79,False,False,False,227.04,C
2024-06-01,PRD-00035,WH-002,381,45.5,8.37,False,False,False,3375.66,A
2024-06-01,PRD-00036,WH-003,430,67.5,6.37,False,False,False,2674.6,B
2024-06-01,PRD-00037,WH-001,300,44.4,6.76,False,False,False,1818.0,B
2024-06-01,PRD-00038,WH-001,344,122.0,2.82,False,False,False,6515.36,A
2024-06-01,PRD-00039,WH-002,62,28.2,2.2,False,False,False,1704.38,A
2024-06-01,PRD-00040,WH-002,313,45.5,6.88,False,False,False,1990.68,A
2024-06-01,PRD-00041,WH-002,31,11.1,2.8,False,False,True,558.93,A
2024-06-01,PRD-00042,WH-002,85,38.7,2.2,False,False,False,1728.9,A
2024-06-01,PRD-00043,WH-003,14,2.5,5.5,False,False,True,140.0,A
2024-06-01,PRD-00044,WH-002,2,0.9,2.12,False,False,True,54.52,A
2024-06-01,PRD-00045,WH-001,168,65.5,2.57,False,False,False,3049.2,A
2024-06-01,PRD-00046,WH-001,480,72.2,6.65,False,False,False,3153.6,B
2024-06-01,PRD-00047,WH-002,398,79.4,5.01,False,False,False,1452.7,C
2024-06-01,PRD-00048,WH-001,630,66.6,9.46,False,False,False,3068.1,B
2024-06-01,PRD-00049,WH-001,399,50.8,7.86,False,False,False,4225.41,A
2024-06-01,PRD-00050,WH-002,472,59.5,7.93,False,False,False,4696.4,A
2024-07-01,PRD-00001,WH-002,401,43.0,9.32,False,False,False,1984.95,B
2024-07-01,PRD-00002,WH-002,158,27.9,5.67,False,False,False,510.34,C
2024-07-01,PRD-00003,WH-003,406,41.1,9.87,False,False,False,1782.34,B
2024-07-01,PRD-00004,WH-001,72,10.6,6.76,False,False,True,895.68,A
2024-07-01,PRD-00005,WH-002,260,33.5,7.76,False,False,False,1458.6,B
2024-07-01,PRD-00006,WH-001,305,52.1,5.85,False,False,False,2360.7,B
2024-07-01,PRD-00007,WH-001,266,35.6,7.47,False,False,False,2777.04,A
2024-07-01,PRD-00008,WH-003,273,54.4,5.02,False,False,False,1023.75,C
2024-07-01,PRD-00009,WH-001,479,53.6,8.93,False,False,False,2313.57,B
2024-07-01,PRD-00010,WH-001,407,59.8,6.81,False,False,False,1094.83,C
2024-07-01,PRD-00011,WH-002,451,73.5,6.14,False,False,False,5903.59,A
2024-07-01,PRD-00012,WH-003,402,39.6,10.16,False,False,False,3344.64,A
2024-07-01,PRD-00013,WH-001,283,32.6,8.68,False,False,False,2680.01,A
2024-07-01,PRD-00014,WH-003,820,78.6,10.43,False,False,False,6117.2,A
2024-07-01,PRD-00015,WH-002,411,53.4,7.69,False,False,False,1006.95,C
2024-07-01,PRD-00016,WH-001,443,55.2,8.03,False,False,False,1869.46,B
2024-07-01,PRD-00017,WH-002,302,58.7,5.15,False,False,False,4261.22,A
2024-07-01,PRD-00018,WH-001,200,43.5,4.6,False,False,False,3228.0,A
2024-07-01,PRD-00019,WH-002,220,39.6,5.56,False,False,False,539.0,C
2024-07-01,PRD-00020,WH-003,106,12.6,8.39,False,False,True,844.82,A
2024-07-01,PRD-00021,WH-003,330,52.7,6.27,False,False,False,3286.8,A
2024-07-01,PRD-00022,WH-001,342,75.2,4.55,False,False,False,909.72,C
2024-07-01,PRD-00023,WH-003,442,60.0,7.36,False,False,False,1874.08,B
2024-07-01,PRD-00024,WH-002,431,74.3,5.8,False,False,False,2629.1,B
2024-07-01,PRD-00025,WH-002,331,42.1,7.86,False,False,False,2734.06,A
2024-07-01,PRD-00026,WH-003,213,35.3,6.03,False,False,False,2547.48,A
2024-07-01,PRD-00027,WH-002,388,72.8,5.33,False,False,False,4322.32,A
2024-07-01,PRD-00028,WH-002,408,43.2,9.45,False,False,False,3157.92,A
2024-07-01,PRD-00029,WH-001,175,35.6,4.91,False,False,False,647.5,C
2024-07-01,PRD-00030,WH-003,165,16.9,9.77,False,False,False,1206.15,A
