Company,Reporting Standard,Scope Category,Reporting Period,Supplier Name,Supplier Country,Supplier Region,Transport Mode,Shipment Count,Total Weight (kg),Total Distance (km),Total Units Shipped,Emission Factor (kg CO2e/t/km),Total Carbon (kg CO2e),Total Carbon (tonnes CO2e),Carbon per Unit (kg CO2e),DEFRA Source,Report Generated,Methodology
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2353.48,11200.0,2136,0.1,329.49,0.3295,0.129885,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,309.23,58500.0,594,0.016,96.48,0.0965,0.143414,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,842.8,5500.0,1174,0.1,92.71,0.0927,0.070377,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,1873.3,1500.0,1480,0.1,46.83,0.0468,0.03315,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1570.85,750.0,840,0.1,39.27,0.0393,0.052175,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,USBrands Inc,United States,INTERCONTINENTAL,SEA,3,255.0,20400.0,266,0.016,27.74,0.0277,0.104195,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-04,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,67.63,33000.0,144,0.016,11.9,0.0119,0.082659,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,326.31,22000.0,320,0.602,1080.41,1.0804,3.230674,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,MedTrade SRL,Italy,EUROPEAN,ROAD,12,4252.19,21600.0,2998,0.1,765.39,0.7654,0.2406,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,EuroFast GmbH,Germany,EUROPEAN,ROAD,9,2499.95,9900.0,2248,0.1,274.99,0.275,0.111613,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1026.48,9800.0,1602,0.1,143.71,0.1437,0.08674,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,152.68,58500.0,528,0.016,47.64,0.0476,0.090371,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1808.18,750.0,828,0.1,45.2,0.0452,0.056167,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,782.35,1000.0,1064,0.1,19.56,0.0196,0.019788,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-05,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,0.016,11.9,0.0119,0.098468,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,355.47,22000.0,422,0.602,1176.96,1.177,2.835067,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,MedTrade SRL,Italy,EUROPEAN,ROAD,8,2512.27,14400.0,1840,0.1,452.21,0.4522,0.236138,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2866.04,11200.0,2184,0.1,401.25,0.4012,0.153825,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,327.6,58500.0,600,0.016,102.21,0.1022,0.144248,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,EuroFast GmbH,Germany,EUROPEAN,ROAD,3,662.14,3300.0,900,0.1,72.84,0.0728,0.072087,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2723.78,1500.0,1556,0.1,68.09,0.0681,0.044583,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1241.76,500.0,624,0.1,31.04,0.031,0.055412,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,0.016,11.9,0.0119,0.098468,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-06,EuroFast GmbH,Germany,EUROPEAN,RAIL,1,42.0,250.0,100,0.028,0.29,0.0003,0.00294,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,USBrands Inc,United States,INTERCONTINENTAL,AIR,3,287.07,16500.0,350,0.602,950.49,0.9505,2.731606,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,MedTrade SRL,Italy,EUROPEAN,ROAD,14,5099.67,25200.0,3514,0.1,917.94,0.9179,0.246844,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,2104.9,7700.0,1786,0.1,231.54,0.2315,0.118297,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1519.03,8400.0,1716,0.1,212.66,0.2127,0.122476,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,2672.02,1750.0,2040,0.1,66.8,0.0668,0.033479,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,2385.58,1000.0,1284,0.1,59.64,0.0596,0.049844,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,114.9,39000.0,396,0.016,35.85,0.0358,0.090792,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,USBrands Inc,United States,INTERCONTINENTAL,SEA,2,163.47,13600.0,172,0.016,17.79,0.0178,0.09988,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,0.016,15.41,0.0154,0.098474,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-07,NordicSupply AS,Sweden,EUROPEAN,SEA,1,34.16,250.0,156,0.016,0.14,0.0001,0.000876,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,MedTrade SRL,Italy,EUROPEAN,ROAD,9,3536.39,16200.0,2378,0.1,636.55,0.6366,0.24686,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,USBrands Inc,United States,INTERCONTINENTAL,AIR,1,161.2,5500.0,200,0.602,533.73,0.5337,2.668666,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,2268.97,9800.0,2232,0.1,317.66,0.3177,0.12144,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,1461.57,7700.0,1984,0.1,160.77,0.1608,0.075475,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,382.69,58500.0,732,0.016,119.4,0.1194,0.143415,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2206.16,1500.0,1728,0.1,55.15,0.0552,0.03315,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1827.5,750.0,960,0.1,45.69,0.0457,0.052175,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,0.016,15.41,0.0154,0.098474,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,111.7,6800.0,100,0.016,12.15,0.0122,0.12153,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-08,NordicSupply AS,Sweden,EUROPEAN,SEA,1,31.54,250.0,144,0.016,0.13,0.0001,0.000876,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,USBrands Inc,United States,INTERCONTINENTAL,AIR,5,510.47,27500.0,550,0.602,1690.17,1.6902,3.118318,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,MedTrade SRL,Italy,EUROPEAN,ROAD,9,2977.34,16200.0,2254,0.1,535.92,0.5359,0.22882,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,1661.68,5500.0,1278,0.1,182.78,0.1828,0.130394,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,NordicSupply AS,Sweden,EUROPEAN,ROAD,4,771.46,5600.0,960,0.1,108.0,0.108,0.102236,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,166.46,58500.0,576,0.016,51.94,0.0519,0.090374,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,1651.97,1000.0,992,0.1,41.3,0.0413,0.043506,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1281.72,500.0,540,0.1,32.04,0.032,0.0614,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,59.69,11000.0,72,0.016,10.51,0.0105,0.145908,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,51.77,6800.0,72,0.016,5.63,0.0056,0.078231,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-09,NordicSupply AS,Sweden,EUROPEAN,SEA,1,31.54,250.0,144,0.016,0.13,0.0001,0.000876,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,USBrands Inc,United States,INTERCONTINENTAL,AIR,6,628.37,33000.0,722,0.602,2080.53,2.0805,2.95122,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,MedTrade SRL,Italy,EUROPEAN,ROAD,13,5243.84,23400.0,3320,0.1,943.89,0.9439,0.264184,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,2533.79,9800.0,2184,0.1,354.73,0.3547,0.13718,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1256.33,6600.0,1642,0.1,138.2,0.1382,0.076725,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,AsiaSource Co,China,INTERCONTINENTAL,SEA,1,239.1,19500.0,300,0.016,74.6,0.0746,0.248664,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,2320.02,1750.0,1940,0.1,58.0,0.058,0.029725,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1871.38,750.0,984,0.1,46.78,0.0468,0.052175,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,0.016,11.9,0.0119,0.098468,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,NordicSupply AS,Sweden,EUROPEAN,SEA,1,128.36,250.0,228,0.016,0.51,0.0005,0.002252,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-10,EuroFast GmbH,Germany,EUROPEAN,RAIL,1,42.0,250.0,100,0.028,0.29,0.0003,0.00294,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,415.87,22000.0,468,0.602,1376.95,1.3769,2.973301,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,MedTrade SRL,Italy,EUROPEAN,ROAD,9,3831.91,16200.0,2884,0.1,689.74,0.6897,0.224379,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
