reporting_period,supplier_id,supplier_name,country_of_origin,region,transport_mode,shipment_count,total_weight_kg,total_distance_km,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,avg_carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,scope_category,report_standard,defra_source
2024-04,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2070.4,11200.0,2064,289.86,0.2899,0.113679,1455.08,11906.039999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,8,1333.79,8800.0,1826,146.72,0.1467,0.071816,736.52,12233.56,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,309.23,58500.0,594,96.48,0.0965,0.143414,3533.57,3736.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1570.85,750.0,840,39.27,0.0393,0.052175,197.14,5605.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,3,974.4,750.0,800,24.36,0.0244,0.032075,122.29,5645.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-04,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,81.55000000000001,33000.0,192,14.35,0.0144,0.082659,525.67,3816.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,6,398.12,33000.0,440,1318.18,1.3182,2.903149,0.0,8161.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,3235.67,18000.0,2196,582.42,0.5824,0.246942,2923.75,19237.12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1663.09,6600.0,1420,182.94,0.1829,0.112476,918.36,9412.7,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1218.3,8400.0,1296,170.56,0.1706,0.1232,856.22,9990.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,8,2802.07,2000.0,2072,70.05,0.0701,0.03655,351.66,16548.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1281.72,500.0,540,32.04,0.032,0.0614,160.86,3654.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,97.58,39000.0,336,30.44,0.0304,0.090788,1115.05,3172.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-05,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,30.22,250.0,138,0.12,0.0001,0.000876,4.43,2027.22,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,436.37,22000.0,472,1444.82,1.4448,3.111535,0.0,7740.4400000000005,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,4141.56,18000.0,2772,745.48,0.7455,0.253638,3742.31,16667.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2966.1099999999997,11200.0,2448,415.26,0.4153,0.149695,2084.58,13109.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,1547.56,7700.0,1840,170.23,0.1702,0.08459,854.56,11726.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,4,405.56,78000.0,876,126.53,0.1265,0.129946,4634.33,5877.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,AIR,1,27.84,6700.0,96,112.29,0.1123,1.169686,0.0,1776.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,1848.98,1000.0,1040,46.22,0.0462,0.0435,232.05,9649.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1827.5,750.0,960,45.69,0.0457,0.052175,229.35,6602.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-06,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,107.42,33000.0,192,18.91,0.0189,0.114277,692.43,4285.4400000000005,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,398.77,22000.0,450,1320.33,1.3203,2.973301,0.0,7281.7,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,11,3384.24,19800.0,2620,609.16,0.6092,0.222987,3058.0,21932.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,1768.4699999999998,5500.0,1374,194.53,0.1945,0.134685,976.55,7624.02,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1100.5900000000001,9800.0,1632,154.08,0.1541,0.08866,773.49,13427.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,2385.58,1000.0,1284,59.64,0.0596,0.049844,299.39,7759.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2246.62,1500.0,1740,56.17,0.0562,0.03315,281.95,13752.119999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,114.9,39000.0,396,35.85,0.0358,0.090792,1312.96,3798.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,59.69,11000.0,72,10.51,0.0105,0.145908,384.76,1941.12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-07,SUP-002,EuroFast GmbH,Germany,EUROPEAN,RAIL,1,42.0,250.0,100,0.29,0.0003,0.00294,6.03,1603.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,361.16999999999996,22000.0,428,1195.83,1.1958,2.835067,0.0,6914.18,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,12,4659.64,21600.0,3284,838.74,0.8387,0.24072,4210.45,21927.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,5,2033.12,7000.0,1704,284.64,0.2846,0.129921,1428.88,7872.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,1356.19,7700.0,1996,149.18,0.1492,0.06908,748.89,12350.119999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,4,428.71000000000004,78000.0,888,133.76,0.1338,0.130572,4898.87,6315.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,2312.14,1750.0,2016,57.8,0.0578,0.029729,290.17,15648.08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,1,767.52,250.0,240,19.19,0.0192,0.07995,96.32,2498.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,15.41,0.0154,0.098474,564.22,3729.84,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-08,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,135.12,250.0,240,0.54,0.0005,0.002252,19.8,1876.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,3,341.29999999999995,16500.0,372,1130.04,1.13,3.170834,0.0,5170.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,3757.44,18000.0,2482,676.34,0.6763,0.253638,3395.22,17711.08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,10,2094.9,14000.0,2418,293.29,0.2933,0.11459,1472.3,17151.06,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1935.1599999999999,6600.0,1390,212.87,0.2129,0.13057,1068.6,9404.880000000001,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,2341.7,1000.0,1260,58.54,0.0585,0.049844,293.88,7674.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,1628.22,1000.0,928,40.71,0.0407,0.0435,204.34,8598.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,101.12,39000.0,348,31.55,0.0315,0.090788,1155.5,3343.6800000000003,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,95.47,33000.0,240,16.8,0.0168,0.082659,615.4,4806.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-09,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,51.77,6800.0,72,5.63,0.0056,0.078231,206.29,1950.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,6,562.24,33000.0,622,1861.58,1.8616,2.995382,0.0,11219.5,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,11,3445.9700000000003,19800.0,2576,620.27,0.6203,0.231676,3113.78,20317.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,5,2064.76,7000.0,1692,289.07,0.2891,0.142632,1451.11,8756.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,8,1467.9499999999998,8800.0,2104,161.47,0.1615,0.069011,810.6,14246.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,281.58,39000.0,444,87.85,0.0879,0.170352,3217.61,2335.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,8,2769.17,2000.0,2304,69.23,0.0692,0.030444,347.53,18350.08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1871.38,750.0,984,46.78,0.0468,0.052175,234.86,6734.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,15.41,0.0154,0.098474,564.22,3668.6400000000003,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,34.16,250.0,156,0.14,0.0001,0.000876,5.0,2249.52,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,252.39999999999998,11000.0,296,835.7,0.8357,2.907058,0.0,3748.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,7,2922.63,12600.0,1808,526.07,0.5261,0.265293,2640.89,14052.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,2364.34,6600.0,1928,260.08,0.2601,0.119937,1305.59,12871.86,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1617.54,8400.0,1770,226.46,0.2265,0.11893,1136.81,12610.619999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2455.91,1500.0,1866,61.4,0.0614,0.032062,308.22,16958.26,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,2374.14,750.0,928,59.35,0.0594,0.067583,297.95,7228.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,114.9,39000.0,396,35.85,0.0358,0.090792,1312.96,3716.2799999999997,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-11,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,15.41,0.0154,0.098474,564.22,3652.56,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,14,6774.39,25200.0,4858,1219.39,1.2194,0.235634,6121.34,33328.68,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,3,341.91999999999996,16500.0,396,1132.1,1.1321,2.915841,0.0,6602.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,9,3930.06,12600.0,3726,550.21,0.5502,0.121022,2762.05,21171.3,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1587.1799999999998,6600.0,2176,174.59,0.1746,0.07315,876.44,14752.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,464.48,58500.0,888,144.92,0.1449,0.143418,5307.61,5578.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2995.63,1500.0,2344,74.89,0.0749,0.03315,375.95,18730.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,2547.12,750.0,1344,63.68,0.0637,0.052175,319.66,9389.28,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,107.42,22000.0,192,18.91,0.0189,0.098468,692.43,4311.360000000001,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,111.7,6800.0,100,12.15,0.0122,0.12153,445.1,1917.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2024-12,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,122.64,250.0,240,0.49,0.0005,0.002044,17.97,2400.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,5,464.71999999999997,27500.0,558,1538.69,1.5387,2.801741,0.0,8668.64,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,3337.6,18000.0,2334,600.77,0.6008,0.236971,3015.86,16875.04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,8,1832.6799999999998,8800.0,1878,201.59,0.2016,0.112008,1012.01,10978.44,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,908.31,8400.0,1044,127.16,0.1272,0.113119,638.36,7788.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,137.76,39000.0,480,42.98,0.043,0.089546,1574.18,3952.3199999999997,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,1707.35,1000.0,896,42.68,0.0427,0.049844,214.27,5724.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1259.56,1250.0,1060,31.49,0.0315,0.03269,158.07,8295.52,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-01,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,11.9,0.0119,0.098468,435.94,3032.64,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,338.51,22000.0,348,1120.81,1.1208,3.111478,0.0,6052.28,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,2189.13,16200.0,1520,394.04,0.394,0.238501,1978.1,11249.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1580.73,8400.0,1488,221.3,0.2213,0.129757,1110.94,6859.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,925.02,6600.0,1224,101.75,0.1018,0.076725,510.8,8118.84,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,286.77,58500.0,588,89.47,0.0895,0.143419,3276.92,4208.639999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,5,1614.25,1250.0,996,40.36,0.0404,0.041895,202.59,8353.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,1,614.02,250.0,192,15.35,0.0154,0.079951,77.06,2033.28,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,39.79,11000.0,48,7.0,0.007,0.145896,256.49,1273.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-02,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,24.97,250.0,114,0.1,0.0001,0.000876,3.66,1574.34,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,10,2776.6,18000.0,1968,499.79,0.4998,0.243414,2508.94,15330.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,91.50999999999999,11000.0,108,302.99,0.303,2.76296,0.0,2374.3199999999997,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1493.07,6600.0,1246,164.24,0.1642,0.116361,824.47,8027.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1114.85,9800.0,1290,156.08,0.1561,0.109979,783.52,10581.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,1913.65,1000.0,1040,47.84,0.0478,0.049844,240.16,6431.68,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,1755.6100000000001,1750.0,1544,43.89,0.0439,0.029725,220.33,12804.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,67.25999999999999,39000.0,228,20.99,0.021,0.09204,768.58,2579.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-03,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,13.92,11000.0,48,2.45,0.0024,0.05104,89.73,891.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
