order_id,product_id,supplier_id,warehouse_id,quantity_ordered,unit_cost_gbp,total_cost_gbp,order_date,expected_delivery_date,actual_delivery_date,lead_time_days,transport_mode,weight_kg_total,is_urgent_order,order_status,supplier_name,country_of_origin,region,product_name,category_code,abc_class,unit_price_gbp,gross_margin_pct,origin_country,distance_km,emission_factor,weight_tonnes,carbon_kg_co2e,carbon_tonnes_co2e,carbon_per_unit_kg,reporting_period,scope_category,report_standard,defra_source,air_emission_factor,carbon_if_air_kg_co2e,carbon_saved_vs_air_kg
PO-000011,PRD-00001,SUP-006,WH-001,384,4.87,1870.08,2025-05-10,2025-05-21,2025-05-24,11,ROAD,940.42,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9404199999999999,169.2756,0.169276,0.440822,2025-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1019.0391,849.7635
PO-000012,PRD-00001,SUP-006,WH-002,402,4.93,1981.86,2025-06-21,2025-07-04,2025-07-04,13,ROAD,984.5,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9845,177.21,0.17721,0.440821,2025-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1066.8042,889.5942
PO-000013,PRD-00001,SUP-006,WH-001,402,5.0,2010.0,2025-08-04,2025-08-16,2025-08-18,12,ROAD,984.5,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9845,177.21,0.17721,0.440821,2025-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1066.8042,889.5942
PO-000014,PRD-00001,SUP-006,WH-001,384,5.01,1923.84,2025-09-19,2025-10-01,2025-10-02,12,ROAD,940.42,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,0.9404199999999999,169.2756,0.169276,0.440822,2025-10,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1019.0391,849.7635
PO-000015,PRD-00001,SUP-006,WH-002,516,4.9,2528.4,2025-11-02,2025-11-16,2025-11-18,14,ROAD,1263.68,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Premium Kitchen Roll 6-Pack,HHE,B,5.9,16.1,Italy,1800.0,0.1,1.2636800000000001,227.4624,0.227462,0.440819,2025-11,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1369.3236,1141.8612
PO-000017,PRD-00002,SUP-006,WH-002,240,3.25,780.0,2024-01-04,2024-01-17,2024-01-20,13,ROAD,593.52,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.5935199999999999,106.8336,0.106834,0.44514,2024-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,643.1383,536.3047
PO-000018,PRD-00002,SUP-006,WH-001,240,3.34,801.6,2024-02-29,2024-03-16,2024-03-16,16,ROAD,593.52,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.5935199999999999,106.8336,0.106834,0.44514,2024-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,643.1383,536.3047
PO-000019,PRD-00002,SUP-006,WH-002,288,3.24,933.12,2024-04-25,2024-05-05,2024-05-06,10,ROAD,712.22,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.7122200000000001,128.1996,0.1282,0.445138,2024-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,771.7616,643.562
PO-000020,PRD-00002,SUP-006,WH-001,336,3.17,1065.12,2024-06-27,2024-07-09,2024-07-09,12,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2024-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000021,PRD-00002,SUP-006,WH-003,336,3.1,1041.6,2024-08-26,2024-09-05,2024-09-06,10,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2024-09,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000022,PRD-00002,SUP-006,WH-001,336,3.21,1078.56,2024-10-30,2024-11-11,2024-11-14,12,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2024-11,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000023,PRD-00002,SUP-006,WH-003,456,3.22,1468.32,2024-12-25,2025-01-07,2025-01-08,13,ROAD,1127.69,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,1.12769,202.9842,0.202984,0.445141,2025-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1221.9649,1018.9807
PO-000024,PRD-00002,SUP-006,WH-002,240,3.31,794.4,2025-02-27,2025-03-13,2025-03-16,14,ROAD,593.52,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.5935199999999999,106.8336,0.106834,0.44514,2025-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,643.1383,536.3047
PO-000025,PRD-00002,SUP-006,WH-001,312,3.2,998.4,2025-05-02,2025-05-13,2025-05-16,11,ROAD,771.58,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.77158,138.8844,0.138884,0.445142,2025-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,836.0841,697.1997
PO-000026,PRD-00002,SUP-006,WH-002,336,3.18,1068.48,2025-06-27,2025-07-12,2025-07-11,15,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2025-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000027,PRD-00002,SUP-006,WH-002,336,3.36,1128.96,2025-08-23,2025-09-08,2025-09-07,16,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2025-09,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000028,PRD-00002,SUP-006,WH-003,336,3.24,1088.64,2025-10-19,2025-10-31,2025-10-30,12,ROAD,830.93,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,0.83093,149.5674,0.149567,0.445141,2025-10,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,900.3957,750.8283
PO-000029,PRD-00002,SUP-006,WH-002,456,3.15,1436.4,2025-12-18,2025-12-31,2025-12-30,13,ROAD,1127.69,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Aluminium Foil 30m Roll,HHE,C,3.88,16.8,Italy,1800.0,0.1,1.12769,202.9842,0.202984,0.445141,2025-12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,1221.9649,1018.9807
PO-000030,PRD-00003,SUP-006,WH-001,300,4.21,1263.0,2024-01-06,2024-01-23,2024-01-22,17,ROAD,458.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.4584,82.512,0.082512,0.27504,2024-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,496.7222,414.2102
PO-000031,PRD-00003,SUP-006,WH-002,300,4.36,1308.0,2024-02-21,2024-03-04,2024-03-05,12,ROAD,458.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.4584,82.512,0.082512,0.27504,2024-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,496.7222,414.2102
PO-000032,PRD-00003,SUP-006,WH-001,400,4.53,1812.0,2024-04-01,2024-04-23,2024-04-23,22,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2024-04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000033,PRD-00003,SUP-006,WH-003,400,4.34,1736.0,2024-05-15,2024-05-29,2024-06-01,14,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2024-06,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000034,PRD-00003,SUP-006,WH-003,400,4.52,1808.0,2024-06-29,2024-07-16,2024-07-18,17,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2024-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000035,PRD-00003,SUP-006,WH-001,400,4.28,1712.0,2024-08-18,2024-08-28,2024-08-31,10,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2024-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000036,PRD-00003,SUP-006,WH-003,400,4.3,1720.0,2024-10-03,2024-10-17,2024-10-17,14,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2024-10,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000037,PRD-00003,SUP-006,WH-003,500,4.43,2215.0,2024-11-19,2024-12-03,2024-12-02,14,ROAD,764.0,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.764,137.52,0.13752,0.27504,2024-12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,827.8704,690.3504
PO-000038,PRD-00003,SUP-006,WH-002,300,4.23,1269.0,2025-01-03,2025-01-14,2025-01-15,11,ROAD,458.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.4584,82.512,0.082512,0.27504,2025-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,496.7222,414.2102
PO-000039,PRD-00003,SUP-006,WH-001,300,4.5,1350.0,2025-02-16,2025-02-28,2025-03-01,12,ROAD,458.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.4584,82.512,0.082512,0.27504,2025-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,496.7222,414.2102
PO-000040,PRD-00003,SUP-006,WH-003,400,4.5,1800.0,2025-04-03,2025-04-16,2025-04-17,13,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2025-04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000041,PRD-00003,SUP-006,WH-002,400,4.46,1784.0,2025-05-18,2025-05-30,2025-05-29,12,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2025-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000042,PRD-00003,SUP-006,WH-003,400,4.36,1744.0,2025-07-03,2025-07-15,2025-07-14,12,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2025-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000043,PRD-00003,SUP-006,WH-003,400,4.45,1780.0,2025-08-17,2025-08-27,2025-08-26,10,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2025-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000044,PRD-00003,SUP-006,WH-001,400,4.37,1748.0,2025-09-27,2025-10-13,2025-10-12,16,ROAD,611.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.6112000000000001,110.016,0.110016,0.27504,2025-10,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,662.2963,552.2803
PO-000045,PRD-00003,SUP-006,WH-003,500,4.55,2275.0,2025-11-06,2025-11-16,2025-11-17,10,ROAD,764.0,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Cling Film 100m,HHE,B,5.57,21.1,Italy,1800.0,0.1,0.764,137.52,0.13752,0.27504,2025-11,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,827.8704,690.3504
PO-000047,PRD-00004,SUP-006,WH-002,100,12.46,1246.0,2024-01-19,2024-01-29,2024-01-31,10,ROAD,117.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.1174,21.132,0.021132,0.21132,2024-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,127.2146,106.0826
PO-000048,PRD-00004,SUP-006,WH-003,100,12.63,1263.0,2024-02-19,2024-03-02,2024-03-04,12,ROAD,117.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.1174,21.132,0.021132,0.21132,2024-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,127.2146,106.0826
PO-000049,PRD-00004,SUP-006,WH-003,200,12.09,2418.0,2024-03-18,2024-04-01,2024-04-01,14,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000050,PRD-00004,SUP-006,WH-003,200,12.42,2484.0,2024-04-12,2024-04-26,2024-04-29,14,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000051,PRD-00004,SUP-006,WH-001,200,12.25,2450.0,2024-05-15,2024-05-27,2024-05-28,12,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000052,PRD-00004,SUP-006,WH-003,200,12.45,2490.0,2024-06-12,2024-07-01,2024-07-02,19,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000053,PRD-00004,SUP-006,WH-001,200,12.14,2428.0,2024-07-14,2024-07-27,2024-07-28,13,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000054,PRD-00004,SUP-006,WH-003,200,12.51,2502.0,2024-08-18,2024-08-31,2024-08-31,13,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000055,PRD-00004,SUP-006,WH-002,200,12.39,2478.0,2024-09-12,2024-09-26,2024-09-29,14,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-09,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000056,PRD-00004,SUP-006,WH-001,200,12.08,2416.0,2024-10-12,2024-10-27,2024-10-28,15,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-10,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000057,PRD-00004,SUP-006,WH-002,200,12.65,2530.0,2024-11-16,2024-12-01,2024-12-01,15,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2024-12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000058,PRD-00004,SUP-006,WH-001,300,12.55,3765.0,2024-12-11,2024-12-24,2024-12-27,13,ROAD,352.2,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.3522,63.396,0.063396,0.21132,2024-12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,381.6439,318.2479
PO-000059,PRD-00004,SUP-006,WH-001,100,12.65,1265.0,2025-01-11,2025-01-26,2025-01-27,15,ROAD,117.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.1174,21.132,0.021132,0.21132,2025-01,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,127.2146,106.0826
PO-000060,PRD-00004,SUP-006,WH-001,100,12.71,1271.0,2025-02-13,2025-02-23,2025-02-24,10,ROAD,117.4,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.1174,21.132,0.021132,0.21132,2025-02,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,127.2146,106.0826
PO-000061,PRD-00004,SUP-006,WH-003,200,12.73,2546.0,2025-03-15,2025-03-28,2025-03-30,13,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-03,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000062,PRD-00004,SUP-006,WH-002,200,12.19,2438.0,2025-04-16,2025-04-29,2025-05-02,13,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000063,PRD-00004,SUP-006,WH-001,200,12.55,2510.0,2025-05-14,2025-05-24,2025-05-26,10,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-05,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000064,PRD-00004,SUP-006,WH-003,200,12.07,2414.0,2025-06-15,2025-06-30,2025-07-01,15,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000065,PRD-00004,SUP-006,WH-001,200,12.7,2540.0,2025-07-16,2025-07-28,2025-07-28,12,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-07,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
PO-000066,PRD-00004,SUP-006,WH-001,200,12.88,2576.0,2025-08-14,2025-08-26,2025-08-27,12,ROAD,234.8,False,DELIVERED,MedTrade SRL,Italy,EUROPEAN,Bin Bags 40L 50-Pack,HHE,A,14.64,15.0,Italy,1800.0,0.1,0.2348,42.264,0.042264,0.21132,2025-08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025,0.602,254.4293,212.1653
